#                  N = 40.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  2.56470105E-01  1.06900026E-03
  3.00000000E-02  2.55403555E-01  8.49580517E-04
  6.00000000E-02  2.52869640E-01  7.93362532E-04
  9.00000000E-02  2.48838211E-01  7.05953638E-04
  1.20000000E-01  2.44044288E-01  6.46455965E-04
  1.50000000E-01  2.37772981E-01  5.78682781E-04
  1.80000000E-01  2.30841146E-01  5.69267485E-04
  2.10000000E-01  2.22886012E-01  5.00917646E-04
  2.40000000E-01  2.14269617E-01  4.30893336E-04
  2.70000000E-01  2.04349362E-01  4.19669650E-04
  3.00000000E-01  1.94573947E-01  3.51420352E-04
  3.30000000E-01  1.83898275E-01  3.06182884E-04
  3.60000000E-01  1.73032495E-01  2.53196840E-04
  3.90000000E-01  1.61845829E-01  2.61828478E-04
  4.20000000E-01  1.50687582E-01  1.96604907E-04
  4.50000000E-01  1.39536061E-01  1.67779528E-04
  4.80000000E-01  1.28425135E-01  1.70563063E-04
  5.10000000E-01  1.17514870E-01  1.39963455E-04
  5.40000000E-01  1.07076311E-01  1.43318962E-04
  5.70000000E-01  9.68200004E-02  1.06620192E-04
  6.00000000E-01  8.72885064E-02  1.10292610E-04
  6.30000000E-01  7.82162363E-02  1.13183196E-04
  6.60000000E-01  6.96873108E-02  1.03880930E-04
  6.90000000E-01  6.17357280E-02  1.05320588E-04
  7.20000000E-01  5.44490149E-02  1.03882199E-04
  7.50000000E-01  4.76129143E-02  1.03445650E-04
  7.80000000E-01  4.15307189E-02  1.02626678E-04
  8.10000000E-01  3.58755616E-02  1.04963473E-04
  8.40000000E-01  3.08684651E-02  9.40919567E-05
  8.70000000E-01  2.63862339E-02  9.53203703E-05
  9.00000000E-01  2.24619552E-02  9.36560523E-05
  9.30000000E-01  1.90054514E-02  7.82625608E-05
  9.60000000E-01  1.59860749E-02  7.75057036E-05
  9.90000000E-01  1.33366032E-02  6.66300340E-05
  1.02000000E+00  1.10503698E-02  6.12163586E-05
  1.05000000E+00  9.14232458E-03  5.69820082E-05
  1.08000000E+00  7.51421971E-03  5.32877417E-05
  1.11000000E+00  6.12694539E-03  4.53717498E-05
  1.14000000E+00  4.97096345E-03  3.91578407E-05
  1.17000000E+00  4.01146934E-03  3.49564430E-05
  1.20000000E+00  3.24777979E-03  3.16086535E-05
  1.23000000E+00  2.59383736E-03  2.97232994E-05
  1.26000000E+00  2.05328811E-03  2.47215611E-05
  1.29000000E+00  1.62736354E-03  2.09842136E-05
  1.32000000E+00  1.28684200E-03  1.69795730E-05
  1.35000000E+00  1.01036169E-03  1.43140296E-05
  1.38000000E+00  8.01029452E-04  1.29226952E-05
  1.41000000E+00  6.30172327E-04  1.13072133E-05
  1.44000000E+00  5.00580748E-04  9.70782628E-06
  1.47000000E+00  3.99615207E-04  7.65805392E-06
  1.50000000E+00  3.23447920E-04  6.96474694E-06
  1.53000000E+00  2.66754698E-04  5.71766800E-06
  1.56000000E+00  2.29206961E-04  5.24871603E-06
  1.59000000E+00  2.04789943E-04  4.71841462E-06
  1.62000000E+00  1.89637639E-04  4.32341452E-06
  1.65000000E+00  1.95699846E-04  4.33874377E-06
  1.68000000E+00  2.06218236E-04  4.49637622E-06
  1.71000000E+00  2.34258692E-04  4.72659007E-06
  1.74000000E+00  2.72831693E-04  5.16012790E-06
  1.77000000E+00  3.26892252E-04  5.72733816E-06
  1.80000000E+00  3.94457229E-04  5.94126178E-06
  1.83000000E+00  4.73091009E-04  7.16214627E-06
  1.86000000E+00  5.81662978E-04  7.65581948E-06
  1.89000000E+00  7.01447271E-04  8.64124569E-06
  1.92000000E+00  8.62234391E-04  1.08868236E-05
  1.95000000E+00  1.04346356E-03  1.09726930E-05
  1.98000000E+00  1.27526513E-03  1.33679381E-05
  2.01000000E+00  1.54663229E-03  1.34229706E-05
  2.04000000E+00  1.85562892E-03  1.48590172E-05
  2.07000000E+00  2.22858673E-03  1.55678055E-05
  2.10000000E+00  2.67495842E-03  1.74561964E-05
  2.13000000E+00  3.19889612E-03  1.85733232E-05
  2.16000000E+00  3.79789520E-03  2.05387253E-05
  2.19000000E+00  4.49681050E-03  2.33229187E-05
  2.22000000E+00  5.32578816E-03  2.47298101E-05
  2.25000000E+00  6.25047568E-03  2.69577168E-05
  2.28000000E+00  7.32556474E-03  2.66255260E-05
  2.31000000E+00  8.55932938E-03  3.11382678E-05
  2.34000000E+00  9.93269768E-03  3.31004999E-05
  2.37000000E+00  1.15081363E-02  3.25292005E-05
  2.40000000E+00  1.32818312E-02  3.63575489E-05
  2.43000000E+00  1.52456682E-02  3.66843960E-05
  2.46000000E+00  1.74359476E-02  4.04419338E-05
  2.49000000E+00  1.98722828E-02  4.23594794E-05
  2.52000000E+00  2.25229172E-02  4.93132882E-05
  2.55000000E+00  2.54419138E-02  4.42067583E-05
  2.58000000E+00  2.86010684E-02  4.45628028E-05
  2.61000000E+00  3.20045035E-02  5.00973329E-05
  2.64000000E+00  3.56454937E-02  5.25633651E-05
  2.67000000E+00  3.95593420E-02  5.17923786E-05
  2.70000000E+00  4.37006035E-02  5.56889875E-05
  2.73000000E+00  4.79978060E-02  5.53958153E-05
  2.76000000E+00  5.24831474E-02  5.88457265E-05
  2.79000000E+00  5.71271882E-02  5.93738550E-05
  2.82000000E+00  6.18727757E-02  6.49402861E-05
  2.85000000E+00  6.66623673E-02  6.36441288E-05
  2.88000000E+00  7.14409903E-02  6.24284112E-05
  2.91000000E+00  7.61528010E-02  5.56751167E-05
  2.94000000E+00  8.07041111E-02  6.31710355E-05
  2.97000000E+00  8.50758394E-02  5.47558147E-05
  3.00000000E+00  8.92230812E-02  5.75986985E-05
  3.03000000E+00  9.29615955E-02  5.79153971E-05
  3.06000000E+00  9.62425231E-02  6.34378519E-05
  3.09000000E+00  9.90989256E-02  6.12342458E-05
  3.12000000E+00  1.01272793E-01  6.58407736E-05
  3.15000000E+00  1.02804046E-01  5.68730134E-05
  3.18000000E+00  1.03596753E-01  6.33627405E-05
  3.21000000E+00  1.03597656E-01  5.86344574E-05
  3.24000000E+00  1.02924046E-01  6.40774605E-05
  3.27000000E+00  1.01339473E-01  7.23268532E-05
  3.30000000E+00  9.89516300E-02  6.14656306E-05
  3.33000000E+00  9.57892733E-02  5.63507607E-05
  3.36000000E+00  9.19478524E-02  6.08611741E-05
  3.39000000E+00  8.74007326E-02  5.73815625E-05
  3.42000000E+00  8.22219706E-02  6.20862833E-05
  3.45000000E+00  7.65235340E-02  5.42452055E-05
  3.48000000E+00  7.04380183E-02  5.35592396E-05
  3.51000000E+00  6.41290451E-02  4.66586035E-05
  3.54000000E+00  5.76500865E-02  4.81732549E-05
  3.57000000E+00  5.11702587E-02  4.85486974E-05
  3.60000000E+00  4.47696000E-02  3.87947766E-05
  3.63000000E+00  3.86091001E-02  3.71961667E-05
  3.66000000E+00  3.28198184E-02  3.92832028E-05
  3.69000000E+00  2.74190609E-02  3.16635245E-05
  3.72000000E+00  2.25265411E-02  2.88440882E-05
  3.75000000E+00  1.81604038E-02  2.30431368E-05
  3.78000000E+00  1.43883413E-02  2.14519607E-05
  3.81000000E+00  1.11422269E-02  1.81363122E-05
  3.84000000E+00  8.42556415E-03  1.59332018E-05
  3.87000000E+00  6.21680431E-03  1.30636280E-05
  3.90000000E+00  4.47870677E-03  1.08141781E-05
  3.93000000E+00  3.14539216E-03  8.91353414E-06
