#                  N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  4.74112697E-04  5.45745354E-05
  3.00000000E-02  4.93109792E-04  5.74062305E-05
  6.00000000E-02  4.64146832E-04  5.01083340E-05
  9.00000000E-02  4.61837612E-04  5.11218544E-05
  1.20000000E-01  4.56218743E-04  4.99647439E-05
  1.50000000E-01  4.47556481E-04  4.80489982E-05
  1.80000000E-01  4.41761304E-04  4.71572782E-05
  2.10000000E-01  4.36775020E-04  4.58143205E-05
  2.40000000E-01  4.24504549E-04  4.49034773E-05
  2.70000000E-01  4.00111761E-04  4.10612717E-05
  3.00000000E-01  3.96549113E-04  4.04053921E-05
  3.30000000E-01  3.80263405E-04  3.83628924E-05
  3.60000000E-01  3.62053830E-04  3.56985408E-05
  3.90000000E-01  3.52580562E-04  3.46815894E-05
  4.20000000E-01  3.36995768E-04  3.18882076E-05
  4.50000000E-01  3.20468184E-04  2.91910503E-05
  4.80000000E-01  3.11021067E-04  2.82014117E-05
  5.10000000E-01  2.99290826E-04  2.64736917E-05
  5.40000000E-01  2.87017421E-04  2.41149806E-05
  5.70000000E-01  2.71339978E-04  2.19481813E-05
  6.00000000E-01  2.58656313E-04  1.97762016E-05
  6.30000000E-01  2.55610922E-04  1.91799378E-05
  6.60000000E-01  2.43148887E-04  1.69988548E-05
  6.90000000E-01  2.39703892E-04  1.54099242E-05
  7.20000000E-01  2.37198765E-04  1.37416093E-05
  7.50000000E-01  2.32116967E-04  1.27242008E-05
  7.80000000E-01  2.31708105E-04  1.11181798E-05
  8.10000000E-01  2.33195646E-04  1.06101251E-05
  8.40000000E-01  2.34279283E-04  9.48863699E-06
  8.70000000E-01  2.37159757E-04  8.53316887E-06
  9.00000000E-01  2.44838594E-04  8.06026033E-06
  9.30000000E-01  2.56757774E-04  7.05557771E-06
  9.60000000E-01  2.69841522E-04  6.69338258E-06
  9.90000000E-01  2.80800749E-04  6.22020776E-06
  1.02000000E+00  2.98841280E-04  6.04336866E-06
  1.05000000E+00  3.20523111E-04  5.97234413E-06
  1.08000000E+00  3.41003039E-04  5.73138047E-06
  1.11000000E+00  3.67719536E-04  5.71521960E-06
  1.14000000E+00  3.98944339E-04  6.38293604E-06
  1.17000000E+00  4.30323100E-04  5.74842455E-06
  1.20000000E+00  4.70609306E-04  6.25265765E-06
  1.23000000E+00  5.13154754E-04  6.31442457E-06
  1.26000000E+00  5.64704099E-04  7.09493519E-06
  1.29000000E+00  6.21769642E-04  7.06236733E-06
  1.32000000E+00  6.81807983E-04  7.33228668E-06
  1.35000000E+00  7.48348808E-04  7.14647693E-06
  1.38000000E+00  8.26269371E-04  7.37070778E-06
  1.41000000E+00  9.11925573E-04  7.49137688E-06
  1.44000000E+00  1.00459481E-03  8.03180256E-06
  1.47000000E+00  1.10952735E-03  8.28776301E-06
  1.50000000E+00  1.22842798E-03  8.66150586E-06
  1.53000000E+00  1.35287552E-03  9.05221231E-06
  1.56000000E+00  1.50449454E-03  1.02260440E-05
  1.59000000E+00  1.66340852E-03  1.03263995E-05
  1.62000000E+00  1.84152998E-03  1.07675888E-05
  1.65000000E+00  2.03424122E-03  1.14876249E-05
  1.68000000E+00  2.25191186E-03  1.18020135E-05
  1.71000000E+00  2.50648041E-03  1.24791471E-05
  1.74000000E+00  2.76736452E-03  1.31529268E-05
  1.77000000E+00  3.06189725E-03  1.37287285E-05
  1.80000000E+00  3.38959098E-03  1.45846532E-05
  1.83000000E+00  3.75161893E-03  1.59672671E-05
  1.86000000E+00  4.15324506E-03  1.69128692E-05
  1.89000000E+00  4.59989674E-03  1.70650937E-05
  1.92000000E+00  5.08245807E-03  1.73295057E-05
  1.95000000E+00  5.60859308E-03  1.84664809E-05
  1.98000000E+00  6.20247142E-03  1.85856247E-05
  2.01000000E+00  6.84204570E-03  1.96801148E-05
  2.04000000E+00  7.53156772E-03  2.08802665E-05
  2.07000000E+00  8.29221146E-03  2.13420775E-05
  2.10000000E+00  9.14407979E-03  2.31158164E-05
  2.13000000E+00  1.00509746E-02  2.44542162E-05
  2.16000000E+00  1.10418967E-02  2.58808059E-05
  2.19000000E+00  1.21306780E-02  2.69453391E-05
  2.22000000E+00  1.32807917E-02  2.91054120E-05
  2.25000000E+00  1.45404081E-02  2.90458535E-05
  2.28000000E+00  1.58940943E-02  3.07114651E-05
  2.31000000E+00  1.73451287E-02  3.19434221E-05
  2.34000000E+00  1.88974469E-02  3.32912285E-05
  2.37000000E+00  2.05840945E-02  3.34860108E-05
  2.40000000E+00  2.23428797E-02  3.64432325E-05
  2.43000000E+00  2.42307660E-02  3.95052031E-05
  2.46000000E+00  2.62308425E-02  4.01601125E-05
  2.49000000E+00  2.83395487E-02  4.03194980E-05
  2.52000000E+00  3.05567026E-02  4.60019943E-05
