#                  u = -0.50                                       u = -1.00                                       u = -2.00                                       u = -5.00                                       u = -8.00                                       u = -10.00                                      u = -13.00                                      u = -15.00                                      u = -18.00                                      u = -20.00                                      u = -23.00                                      u = -25.00                                      u = -28.00                                      u = -30.00                                      u = -32.00                                      u = -35.00                                      u = -38.00                                      u = -40.00                                      u = -42.00                                      u = -45.00                                      u = -48.00                                      u = -52.00                                      u = -55.00                                      u = -58.00                                      u = -60.00                                      u = -65.00                                      u = -70.00                                      u = -72.00                                      u = -75.00                                      u = -78.00                   
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  2.54649052E-01  1.27266352E-03  0.00000000E+00  2.79354176E-01  1.02427191E-03  0.00000000E+00  2.79888238E-01  1.23523009E-03  0.00000000E+00  2.71914400E-01  1.88169176E-03  0.00000000E+00  2.71940574E-01  1.98094719E-03  0.00000000E+00  2.69276059E-01  2.17017057E-03  0.00000000E+00  2.69047588E-01  2.11693407E-03  0.00000000E+00  2.71503379E-01  1.69816142E-03  0.00000000E+00  2.71060985E-01  2.02970186E-03  0.00000000E+00  2.70462964E-01  1.74017043E-03  0.00000000E+00  2.72398510E-01  1.50751967E-03  0.00000000E+00  2.68363647E-01  2.46712671E-03  0.00000000E+00  2.64902842E-01  2.41626088E-03  0.00000000E+00  2.64357426E-01  1.83381645E-03  0.00000000E+00  2.61893124E-01  2.38338075E-03  0.00000000E+00  2.51879100E-01  2.54809011E-03  0.00000000E+00  2.55092738E-01  1.85310072E-03  0.00000000E+00  2.45487838E-01  2.08907512E-03  0.00000000E+00  2.41276359E-01  1.87400008E-03  0.00000000E+00  2.01375690E-01  1.81282968E-03  0.00000000E+00  1.55514717E-01  3.12234262E-03  0.00000000E+00  5.10406114E-02  4.50890145E-03  0.00000000E+00  3.71588270E-03  6.60628533E-04  0.00000000E+00  4.74112697E-04  5.45745354E-05  0.00000000E+00  1.60227694E-04  3.86696058E-05  0.00000000E+00  3.82895647E-05  4.74804334E-06  0.00000000E+00  6.86417585E-06  7.69111840E-07  0.00000000E+00  4.13095496E-07  5.93419642E-08  0.00000000E+00  9.05414787E-08  2.45646934E-08  0.00000000E+00             NAN             NAN
  3.00000000E-02  2.53507430E-01  1.16661523E-03  3.00000000E-02  2.78580367E-01  1.20789974E-03  3.00000000E-02  2.77611586E-01  1.17978575E-03  3.00000000E-02  2.70121074E-01  1.80634706E-03  3.00000000E-02  2.71017837E-01  1.92230550E-03  3.00000000E-02  2.69092698E-01  2.16638818E-03  3.00000000E-02  2.68581253E-01  2.16834252E-03  3.00000000E-02  2.70130782E-01  1.68027432E-03  3.00000000E-02  2.69150392E-01  1.97436086E-03  3.00000000E-02  2.68560093E-01  1.70875942E-03  3.00000000E-02  2.71179728E-01  1.55916277E-03  3.00000000E-02  2.67208838E-01  2.34408573E-03  3.00000000E-02  2.63202515E-01  2.38422561E-03  3.00000000E-02  2.63180842E-01  1.78541318E-03  3.00000000E-02  2.60254535E-01  2.19967478E-03  3.00000000E-02  2.50414005E-01  2.52728989E-03  3.00000000E-02  2.53646869E-01  1.82804766E-03  3.00000000E-02  2.44137332E-01  2.14477193E-03  3.00000000E-02  2.39441431E-01  1.79644410E-03  3.00000000E-02  2.00749251E-01  1.86050507E-03  3.00000000E-02  1.55023511E-01  3.10497379E-03  3.00000000E-02  5.04937417E-02  4.49945060E-03  3.00000000E-02  3.64338058E-03  6.23446122E-04  3.00000000E-02  4.93109792E-04  5.74062305E-05  3.00000000E-02  1.73059389E-04  3.82028131E-05  3.00000000E-02  4.33288748E-05  4.16812262E-06  3.00000000E-02  6.32469955E-06  4.63473585E-07  3.00000000E-02  5.28158626E-07  4.96399199E-08  3.00000000E-02  1.07518006E-07  1.89615123E-08  3.00000000E-02             INF             INF
  6.00000000E-02  2.50913580E-01  1.13452832E-03  6.00000000E-02  2.75967504E-01  1.10344856E-03  6.00000000E-02  2.74946587E-01  1.16919734E-03  6.00000000E-02  2.67593276E-01  1.80377286E-03  6.00000000E-02  2.68492402E-01  1.90642409E-03  6.00000000E-02  2.66105242E-01  2.09512451E-03  6.00000000E-02  2.65707977E-01  2.16084639E-03  6.00000000E-02  2.67866109E-01  1.65496579E-03  6.00000000E-02  2.66992150E-01  1.91256801E-03  6.00000000E-02  2.66274295E-01  1.62683957E-03  6.00000000E-02  2.68436771E-01  1.54217804E-03  6.00000000E-02  2.64622164E-01  2.33804125E-03  6.00000000E-02  2.60870578E-01  2.40806486E-03  6.00000000E-02  2.60844404E-01  1.69780871E-03  6.00000000E-02  2.57906450E-01  2.15296585E-03  6.00000000E-02  2.48196695E-01  2.48827312E-03  6.00000000E-02  2.50874996E-01  1.78761790E-03  6.00000000E-02  2.41757977E-01  2.14752643E-03  6.00000000E-02  2.37359991E-01  1.80089914E-03  6.00000000E-02  1.98673942E-01  1.88586942E-03  6.00000000E-02  1.53312021E-01  3.00070876E-03  6.00000000E-02  5.00444938E-02  4.47755651E-03  6.00000000E-02  3.65178453E-03  6.29507469E-04  6.00000000E-02  4.64146832E-04  5.01083340E-05  6.00000000E-02  1.70765238E-04  3.80917200E-05  6.00000000E-02  4.20804019E-05  3.01129446E-06  6.00000000E-02  6.06967438E-06  3.58778211E-07  6.00000000E-02  4.97978132E-07  3.54898249E-08  6.00000000E-02  1.05254469E-07  1.52440752E-08  6.00000000E-02             INF             INF
  9.00000000E-02  2.47736385E-01  1.14016182E-03  9.00000000E-02  2.71658309E-01  1.10149503E-03  9.00000000E-02  2.70981802E-01  1.08881937E-03  9.00000000E-02  2.63551378E-01  1.77919869E-03  9.00000000E-02  2.64822037E-01  1.88883118E-03  9.00000000E-02  2.62205043E-01  2.06213255E-03  9.00000000E-02  2.61845703E-01  2.06749425E-03  9.00000000E-02  2.64133232E-01  1.66257315E-03  9.00000000E-02  2.62782679E-01  1.89042480E-03  9.00000000E-02  2.62640903E-01  1.56362421E-03  9.00000000E-02  2.64729748E-01  1.56384503E-03  9.00000000E-02  2.60629772E-01  2.28399647E-03  9.00000000E-02  2.57449705E-01  2.36297107E-03  9.00000000E-02  2.56869987E-01  1.62233329E-03  9.00000000E-02  2.53905674E-01  2.15392671E-03  9.00000000E-02  2.44531794E-01  2.45350519E-03  9.00000000E-02  2.47596305E-01  1.77235631E-03  9.00000000E-02  2.38389185E-01  2.03539253E-03  9.00000000E-02  2.33847369E-01  1.82427740E-03  9.00000000E-02  1.96370383E-01  1.82535278E-03  9.00000000E-02  1.51374415E-01  3.03053301E-03  9.00000000E-02  4.93339882E-02  4.40963751E-03  9.00000000E-02  3.61103318E-03  6.33523872E-04  9.00000000E-02  4.61837612E-04  5.11218544E-05  9.00000000E-02  1.70747647E-04  3.57066921E-05  9.00000000E-02  3.96231589E-05  2.63554101E-06  9.00000000E-02  6.35488004E-06  3.40549095E-07  9.00000000E-02  4.97978133E-07  3.76488579E-08  9.00000000E-02  1.00242351E-07  1.26124197E-08  9.00000000E-02             INF             INF
  1.20000000E-01  2.43711295E-01  1.08038135E-03  1.20000000E-01  2.66816847E-01  1.05188076E-03  1.20000000E-01  2.65879772E-01  1.05835777E-03  1.20000000E-01  2.58559988E-01  1.76210032E-03  1.20000000E-01  2.59710603E-01  1.80458860E-03  1.20000000E-01  2.57149591E-01  1.99312106E-03  1.20000000E-01  2.57104066E-01  2.07346449E-03  1.20000000E-01  2.58520561E-01  1.64518673E-03  1.20000000E-01  2.57966641E-01  1.92686437E-03  1.20000000E-01  2.57861565E-01  1.49698983E-03  1.20000000E-01  2.59527862E-01  1.52191990E-03  1.20000000E-01  2.55679595E-01  2.28171621E-03  1.20000000E-01  2.52215849E-01  2.31178442E-03  1.20000000E-01  2.51731390E-01  1.59615919E-03  1.20000000E-01  2.49458237E-01  2.14077402E-03  1.20000000E-01  2.39854098E-01  2.41071322E-03  1.20000000E-01  2.43060137E-01  1.64433473E-03  1.20000000E-01  2.34114715E-01  2.04601004E-03  1.20000000E-01  2.29395698E-01  1.77674326E-03  1.20000000E-01  1.92570989E-01  1.84452904E-03  1.20000000E-01  1.48682038E-01  2.98505791E-03  1.20000000E-01  4.83822933E-02  4.31678311E-03  1.20000000E-01  3.58943279E-03  6.12284892E-04  1.20000000E-01  4.56218743E-04  4.99647439E-05  1.20000000E-01  1.69892509E-04  3.70041038E-05  1.20000000E-01  4.02784340E-05  2.92712160E-06  1.20000000E-01  6.21089394E-06  2.73417688E-07  1.20000000E-01  5.58967880E-07  3.15699145E-08  1.20000000E-01  9.80866020E-08  1.22584536E-08  1.20000000E-01             INF             INF
  1.50000000E-01  2.37933215E-01  1.02263975E-03  1.50000000E-01  2.59697707E-01  1.01031575E-03  1.50000000E-01  2.59817843E-01  1.01784435E-03  1.50000000E-01  2.51939651E-01  1.72733816E-03  1.50000000E-01  2.53867603E-01  1.80402861E-03  1.50000000E-01  2.51115505E-01  1.99500113E-03  1.50000000E-01  2.50690003E-01  2.02849441E-03  1.50000000E-01  2.52328360E-01  1.61116447E-03  1.50000000E-01  2.51886611E-01  1.89356784E-03  1.50000000E-01  2.52020359E-01  1.46323215E-03  1.50000000E-01  2.53476849E-01  1.44140056E-03  1.50000000E-01  2.49472909E-01  2.23873660E-03  1.50000000E-01  2.45984755E-01  2.24186410E-03  1.50000000E-01  2.45444399E-01  1.46702516E-03  1.50000000E-01  2.43455086E-01  2.10769004E-03  1.50000000E-01  2.34184184E-01  2.34561998E-03  1.50000000E-01  2.37558252E-01  1.58650029E-03  1.50000000E-01  2.28647681E-01  1.99219633E-03  1.50000000E-01  2.24053542E-01  1.79477227E-03  1.50000000E-01  1.88222372E-01  1.79940287E-03  1.50000000E-01  1.45204781E-01  2.89579620E-03  1.50000000E-01  4.73167165E-02  4.22673395E-03  1.50000000E-01  3.46057407E-03  6.04772801E-04  1.50000000E-01  4.47556481E-04  4.80489982E-05  1.50000000E-01  1.62239642E-04  3.32998718E-05  1.50000000E-01  3.98902780E-05  2.60821195E-06  1.50000000E-01  6.42638723E-06  2.81182412E-07  1.50000000E-01  6.03952818E-07  2.95792372E-08  1.50000000E-01  9.46570005E-08  1.03331048E-08  1.50000000E-01             INF             INF
  1.80000000E-01  2.31806508E-01  9.34871219E-04  1.80000000E-01  2.52400937E-01  1.02902339E-03  1.80000000E-01  2.52100246E-01  9.69797661E-04  1.80000000E-01  2.45024896E-01  1.73325263E-03  1.80000000E-01  2.46252370E-01  1.71510240E-03  1.80000000E-01  2.43875736E-01  1.91940028E-03  1.80000000E-01  2.43768082E-01  1.97429933E-03  1.80000000E-01  2.45143159E-01  1.58991848E-03  1.80000000E-01  2.44747654E-01  1.82160879E-03  1.80000000E-01  2.45076409E-01  1.36945083E-03  1.80000000E-01  2.46009421E-01  1.41374322E-03  1.80000000E-01  2.42123987E-01  2.16694730E-03  1.80000000E-01  2.38625163E-01  2.13595839E-03  1.80000000E-01  2.38072722E-01  1.40589978E-03  1.80000000E-01  2.36616089E-01  1.98628143E-03  1.80000000E-01  2.27740691E-01  2.22022122E-03  1.80000000E-01  2.30814356E-01  1.50426336E-03  1.80000000E-01  2.22807120E-01  1.93522892E-03  1.80000000E-01  2.17642812E-01  1.83548813E-03  1.80000000E-01  1.83015964E-01  1.74643751E-03  1.80000000E-01  1.41184179E-01  2.81882438E-03  1.80000000E-01  4.60104660E-02  4.12290149E-03  1.80000000E-01  3.39050258E-03  5.86663351E-04  1.80000000E-01  4.41761304E-04  4.71572782E-05  1.80000000E-01  1.68231800E-04  3.45351546E-05  1.80000000E-01  3.91860844E-05  2.25280573E-06  1.80000000E-01  6.59777497E-06  2.53348890E-07  1.80000000E-01  6.25519735E-07  3.08005453E-08  1.80000000E-01  1.08388597E-07  1.11826241E-08  1.80000000E-01             INF             INF
  2.10000000E-01  2.24644545E-01  9.27649081E-04  2.10000000E-01  2.43698223E-01  1.00714740E-03  2.10000000E-01  2.43843482E-01  9.35364079E-04  2.10000000E-01  2.36426577E-01  1.65042294E-03  2.10000000E-01  2.38113527E-01  1.69024364E-03  2.10000000E-01  2.35549673E-01  1.87578270E-03  2.10000000E-01  2.35409653E-01  1.91697409E-03  2.10000000E-01  2.36786819E-01  1.52777015E-03  2.10000000E-01  2.36348927E-01  1.75777361E-03  2.10000000E-01  2.37156948E-01  1.24935459E-03  2.10000000E-01  2.37864244E-01  1.40961079E-03  2.10000000E-01  2.33883800E-01  2.12297124E-03  2.10000000E-01  2.30575757E-01  2.10728403E-03  2.10000000E-01  2.29991290E-01  1.26927333E-03  2.10000000E-01  2.28855669E-01  1.91399513E-03  2.10000000E-01  2.19858553E-01  2.15154687E-03  2.10000000E-01  2.23367046E-01  1.42329293E-03  2.10000000E-01  2.15603459E-01  1.89679878E-03  2.10000000E-01  2.10640245E-01  1.82963604E-03  2.10000000E-01  1.77068170E-01  1.64890141E-03  2.10000000E-01  1.36522857E-01  2.72230121E-03  2.10000000E-01  4.43964314E-02  3.97032349E-03  2.10000000E-01  3.27359057E-03  5.64698366E-04  2.10000000E-01  4.36775020E-04  4.58143205E-05  2.10000000E-01  1.59919215E-04  3.32983679E-05  2.10000000E-01  4.27935832E-05  2.36143987E-06  2.10000000E-01  6.60122831E-06  2.28179992E-07  2.10000000E-01  6.18322848E-07  2.78505983E-08  2.10000000E-01  1.07140750E-07  9.21166059E-09  2.10000000E-01             INF             INF
  2.40000000E-01  2.16683431E-01  8.90594739E-04  2.40000000E-01  2.34418422E-01  1.01120524E-03  2.40000000E-01  2.34570568E-01  9.53617294E-04  2.40000000E-01  2.27534715E-01  1.62204654E-03  2.40000000E-01  2.29187848E-01  1.61389230E-03  2.40000000E-01  2.26521736E-01  1.83256081E-03  2.40000000E-01  2.26223249E-01  1.85892018E-03  2.40000000E-01  2.27695077E-01  1.49286785E-03  2.40000000E-01  2.27247710E-01  1.73009506E-03  2.40000000E-01  2.27988517E-01  1.20791121E-03  2.40000000E-01  2.28794515E-01  1.35290532E-03  2.40000000E-01  2.24855110E-01  2.07582035E-03  2.40000000E-01  2.21552012E-01  1.99007302E-03  2.40000000E-01  2.20857263E-01  1.15888021E-03  2.40000000E-01  2.20214845E-01  1.82674691E-03  2.40000000E-01  2.11582792E-01  2.09653176E-03  2.40000000E-01  2.15047383E-01  1.32336642E-03  2.40000000E-01  2.07586821E-01  1.84874592E-03  2.40000000E-01  2.02939618E-01  1.89201290E-03  2.40000000E-01  1.70683827E-01  1.62469123E-03  2.40000000E-01  1.31436817E-01  2.61884684E-03  2.40000000E-01  4.27524348E-02  3.80769779E-03  2.40000000E-01  3.18917383E-03  5.49231965E-04  2.40000000E-01  4.24504549E-04  4.49034773E-05  2.40000000E-01  1.58744768E-04  3.30718596E-05  2.40000000E-01  4.23834475E-05  2.32596977E-06  2.40000000E-01  7.28692467E-06  2.37152938E-07  2.40000000E-01  6.80059710E-07  2.76987217E-08  2.40000000E-01  1.19834310E-07  9.75334186E-09  2.40000000E-01             INF             INF
  2.70000000E-01  2.07862794E-01  8.69891066E-04  2.70000000E-01  2.24022766E-01  1.02415971E-03  2.70000000E-01  2.24439180E-01  9.26513575E-04  2.70000000E-01  2.17519660E-01  1.61230090E-03  2.70000000E-01  2.19249130E-01  1.56783660E-03  2.70000000E-01  2.16673234E-01  1.76419532E-03  2.70000000E-01  2.16672755E-01  1.79135346E-03  2.70000000E-01  2.17797094E-01  1.46560609E-03  2.70000000E-01  2.17185779E-01  1.63882165E-03  2.70000000E-01  2.18782614E-01  1.14425673E-03  2.70000000E-01  2.18749764E-01  1.26556353E-03  2.70000000E-01  2.14937609E-01  1.99265991E-03  2.70000000E-01  2.11950201E-01  1.88971507E-03  2.70000000E-01  2.10927130E-01  1.08201241E-03  2.70000000E-01  2.10922752E-01  1.76766973E-03  2.70000000E-01  2.02605747E-01  2.02191949E-03  2.70000000E-01  2.06172616E-01  1.26309266E-03  2.70000000E-01  1.99065312E-01  1.78494131E-03  2.70000000E-01  1.94370645E-01  1.86621512E-03  2.70000000E-01  1.63804206E-01  1.56241224E-03  2.70000000E-01  1.25878547E-01  2.54743394E-03  2.70000000E-01  4.09550746E-02  3.65882551E-03  2.70000000E-01  3.05894873E-03  5.28288599E-04  2.70000000E-01  4.00111761E-04  4.10612717E-05  2.70000000E-01  1.58250753E-04  3.13106295E-05  2.70000000E-01  4.36659576E-05  2.19790065E-06  2.70000000E-01  7.62514125E-06  2.13600989E-07  2.70000000E-01  7.57689217E-07  2.63761346E-08  2.70000000E-01  1.28068539E-07  9.99033612E-09  2.70000000E-01             INF             INF
