#                  N = 100.00                   
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.53648930E-04  6.44152198E-05
  4.00000000E-02  1.06969021E-04  3.57144913E-05
  8.00000000E-02  1.34284386E-04  4.20640616E-05
  1.20000000E-01  1.70181810E-04  4.43203349E-05
  1.60000000E-01  1.92225650E-04  5.93522324E-05
  2.00000000E-01  2.16916137E-04  6.14969440E-05
  2.40000000E-01  3.03302205E-04  7.75423649E-05
  2.80000000E-01  3.36649411E-04  7.05144884E-05
  3.20000000E-01  3.84748703E-04  7.19592342E-05
  3.60000000E-01  5.36571086E-04  8.54531333E-05
  4.00000000E-01  5.98443759E-04  8.87973068E-05
  4.40000000E-01  6.95216579E-04  9.79626570E-05
  4.80000000E-01  8.62096201E-04  1.27579746E-04
  5.20000000E-01  9.30135285E-04  1.11141363E-04
  5.60000000E-01  1.06691630E-03  1.10339158E-04
  6.00000000E-01  1.26262296E-03  1.20699114E-04
  6.40000000E-01  1.49925996E-03  1.19885005E-04
  6.80000000E-01  1.78205451E-03  1.35620157E-04
  7.20000000E-01  2.06549333E-03  1.44939215E-04
  7.60000000E-01  2.32044220E-03  1.34301977E-04
  8.00000000E-01  2.69090234E-03  1.54197108E-04
  8.40000000E-01  3.09075295E-03  1.44006903E-04
  8.80000000E-01  3.55719378E-03  1.50223294E-04
  9.20000000E-01  4.13641938E-03  1.66044787E-04
  9.60000000E-01  4.73755214E-03  1.74074880E-04
  1.00000000E+00  5.37037120E-03  1.79772773E-04
  1.04000000E+00  6.11336803E-03  1.86107761E-04
  1.08000000E+00  6.94794247E-03  1.91115080E-04
  1.12000000E+00  7.91986848E-03  2.06121403E-04
  1.16000000E+00  8.95532684E-03  2.22932225E-04
  1.20000000E+00  1.01118040E-02  1.97986060E-04
  1.24000000E+00  1.13939478E-02  2.07808984E-04
  1.28000000E+00  1.27577966E-02  2.07169243E-04
  1.32000000E+00  1.42393855E-02  1.98063199E-04
  1.36000000E+00  1.58631955E-02  2.02541797E-04
  1.40000000E+00  1.77735579E-02  1.93132893E-04
  1.44000000E+00  1.98471334E-02  2.21131882E-04
  1.48000000E+00  2.18688103E-02  2.05034530E-04
  1.52000000E+00  2.42895074E-02  2.37455624E-04
  1.56000000E+00  2.66255037E-02  2.39283256E-04
  1.60000000E+00  2.92730691E-02  2.16788072E-04
  1.64000000E+00  3.20024510E-02  2.27055761E-04
  1.68000000E+00  3.49182890E-02  2.29020996E-04
  1.72000000E+00  3.79242715E-02  2.14543933E-04
  1.76000000E+00  4.08610695E-02  2.13377672E-04
  1.80000000E+00  4.40526640E-02  2.21871704E-04
  1.84000000E+00  4.71308908E-02  2.39586903E-04
  1.88000000E+00  5.03300333E-02  2.43534787E-04
  1.92000000E+00  5.36769249E-02  2.39648751E-04
  1.96000000E+00  5.64431891E-02  2.46774333E-04
  2.00000000E+00  5.95001442E-02  2.83241428E-04
  2.04000000E+00  6.20769475E-02  3.06880681E-04
  2.08000000E+00  6.47109613E-02  2.95833193E-04
  2.12000000E+00  6.68355544E-02  2.85552071E-04
  2.16000000E+00  6.86597358E-02  3.15524016E-04
  2.20000000E+00  7.02662494E-02  2.97943953E-04
  2.24000000E+00  7.13480533E-02  3.45308219E-04
  2.28000000E+00  7.19865233E-02  3.19324339E-04
  2.32000000E+00  7.19624069E-02  3.30489109E-04
  2.36000000E+00  7.16440383E-02  3.32528551E-04
  2.40000000E+00  7.06536393E-02  2.99890531E-04
  2.44000000E+00  6.90870429E-02  2.91561178E-04
  2.48000000E+00  6.70561621E-02  2.42727796E-04
  2.52000000E+00  6.44171215E-02  2.61474129E-04
  2.56000000E+00  6.16976843E-02  2.21135666E-04
  2.60000000E+00  5.84588877E-02  1.93644290E-04
  2.64000000E+00  5.47358154E-02  1.95613748E-04
  2.68000000E+00  5.08676636E-02  1.88756318E-04
  2.72000000E+00  4.70545839E-02  1.95889617E-04
  2.76000000E+00  4.29513958E-02  2.01046371E-04
  2.80000000E+00  3.89229412E-02  2.01748669E-04
  2.84000000E+00  3.48863500E-02  2.14865450E-04
  2.88000000E+00  3.09663784E-02  1.98291430E-04
  2.92000000E+00  2.72669264E-02  1.82194388E-04
  2.96000000E+00  2.37225418E-02  1.79596333E-04
  3.00000000E+00  2.04905584E-02  1.68991809E-04
  3.04000000E+00  1.75594680E-02  1.51261441E-04
  3.08000000E+00  1.48984885E-02  1.43169211E-04
  3.12000000E+00  1.25109387E-02  1.44206033E-04
  3.16000000E+00  1.04384194E-02  1.25058007E-04
  3.20000000E+00  8.62083618E-03  1.11782589E-04
  3.24000000E+00  7.05797004E-03  1.11973230E-04
  3.28000000E+00  5.70334616E-03  1.00119442E-04
  3.32000000E+00  4.62708080E-03  9.50012810E-05
  3.36000000E+00  3.72120299E-03  8.60875427E-05
  3.40000000E+00  2.99553841E-03  7.43210158E-05
  3.44000000E+00  2.40230069E-03  6.67525460E-05
  3.48000000E+00  1.96693664E-03  5.94226501E-05
  3.52000000E+00  1.60156837E-03  5.07821319E-05
  3.56000000E+00  1.32881157E-03  4.61467655E-05
  3.60000000E+00  1.16980708E-03  4.34145605E-05
  3.64000000E+00  1.06474734E-03  4.03050086E-05
  3.68000000E+00  1.03226879E-03  3.84419036E-05
  3.72000000E+00  1.05669951E-03  3.90416249E-05
  3.76000000E+00  1.14083799E-03  4.23073730E-05
  3.80000000E+00  1.28966349E-03  4.57664427E-05
  3.84000000E+00  1.50267864E-03  5.00597050E-05
  3.88000000E+00  1.76398433E-03  5.81740853E-05
  3.92000000E+00  2.07268300E-03  5.91737675E-05
  3.96000000E+00  2.48767381E-03  6.79638904E-05
  4.00000000E+00  2.96411739E-03  7.63190561E-05
  4.04000000E+00  3.58810376E-03  8.60446764E-05
  4.08000000E+00  4.27778041E-03  8.75029144E-05
  4.12000000E+00  5.13639701E-03  1.01555898E-04
  4.16000000E+00  6.12848728E-03  1.10609666E-04
  4.20000000E+00  7.31517283E-03  1.20602426E-04
  4.24000000E+00  8.65925243E-03  1.28332123E-04
  4.28000000E+00  1.02299538E-02  1.43241606E-04
  4.32000000E+00  1.20785711E-02  1.47587547E-04
  4.36000000E+00  1.42868700E-02  1.50364073E-04
  4.40000000E+00  1.67019573E-02  1.52286683E-04
  4.44000000E+00  1.94288272E-02  1.56023197E-04
  4.48000000E+00  2.25391481E-02  1.60952513E-04
  4.52000000E+00  2.61374842E-02  1.58271752E-04
  4.56000000E+00  2.99274510E-02  1.49826488E-04
  4.60000000E+00  3.42770553E-02  1.62050574E-04
  4.64000000E+00  3.89310685E-02  1.48357473E-04
  4.68000000E+00  4.39933210E-02  1.51966205E-04
  4.72000000E+00  4.91759971E-02  1.50930217E-04
  4.76000000E+00  5.49014006E-02  1.45030810E-04
  4.80000000E+00  6.07275727E-02  1.52497524E-04
  4.84000000E+00  6.67577939E-02  1.57087304E-04
  4.88000000E+00  7.29572806E-02  1.50182157E-04
  4.92000000E+00  7.88591436E-02  1.62136987E-04
  4.96000000E+00  8.48078293E-02  1.51135596E-04
  5.00000000E+00  9.01430603E-02  1.89616478E-04
  5.04000000E+00  9.50227711E-02  1.96050116E-04
  5.08000000E+00  9.91158405E-02  1.97331455E-04
  5.12000000E+00  1.02345308E-01  1.99232143E-04
  5.16000000E+00  1.04445767E-01  1.91498668E-04
  5.20000000E+00  1.05154106E-01  1.89470120E-04
  5.24000000E+00  1.04621915E-01  1.99123751E-04
  5.28000000E+00  1.02718020E-01  1.93282032E-04
  5.32000000E+00  9.96885754E-02  1.94726558E-04
  5.36000000E+00  9.48873233E-02  2.04335642E-04
  5.40000000E+00  8.90286581E-02  2.22918752E-04
  5.44000000E+00  8.20158031E-02  1.89999882E-04
  5.48000000E+00  7.43164030E-02  1.68749731E-04
  5.52000000E+00  6.58306345E-02  1.62173660E-04
  5.56000000E+00  5.70549548E-02  1.56174364E-04
  5.60000000E+00  4.83672841E-02  1.38432915E-04
  5.64000000E+00  3.99535256E-02  1.34761597E-04
  5.68000000E+00  3.21751369E-02  1.11420914E-04
  5.72000000E+00  2.51163103E-02  7.81674280E-05
  5.76000000E+00  1.90231780E-02  7.31315351E-05
  5.80000000E+00  1.38488819E-02  5.47635786E-05
  5.84000000E+00  9.71535488E-03  4.63623062E-05
  5.88000000E+00  6.49096500E-03  3.65886106E-05
  5.92000000E+00  4.18445204E-03  2.93330061E-05
  5.96000000E+00  2.55503778E-03  2.06384094E-05
  6.00000000E+00  1.46224976E-03  1.51407350E-05
  6.04000000E+00  8.07031545E-04  1.16353936E-05
  6.08000000E+00  4.04857326E-04  6.95781112E-06
  6.12000000E+00  1.77454628E-04  3.76001642E-06
  6.16000000E+00  7.77471769E-05  3.39588475E-06
  6.20000000E+00  3.28369893E-05  2.31807285E-06
  6.24000000E+00  1.07239304E-05  1.16799558E-06
  6.28000000E+00  3.27953242E-06  5.47263206E-07
  6.32000000E+00  7.58998048E-07  2.05783846E-07
  6.36000000E+00  1.79441248E-07  1.11085319E-07
  6.40000000E+00  0.00000000E+00  0.00000000E+00
  6.44000000E+00  0.00000000E+00  0.00000000E+00
  6.48000000E+00  0.00000000E+00  0.00000000E+00
  6.52000000E+00  0.00000000E+00  0.00000000E+00
  6.56000000E+00  0.00000000E+00  0.00000000E+00
  6.60000000E+00  0.00000000E+00  0.00000000E+00
  6.64000000E+00  0.00000000E+00  0.00000000E+00
  6.68000000E+00  0.00000000E+00  0.00000000E+00
  6.72000000E+00  0.00000000E+00  0.00000000E+00
  6.76000000E+00  0.00000000E+00  0.00000000E+00
  6.80000000E+00  0.00000000E+00  0.00000000E+00
  6.84000000E+00  0.00000000E+00  0.00000000E+00
  6.88000000E+00  0.00000000E+00  0.00000000E+00
  6.92000000E+00  0.00000000E+00  0.00000000E+00
  6.96000000E+00  0.00000000E+00  0.00000000E+00
  7.00000000E+00  0.00000000E+00  0.00000000E+00
  7.04000000E+00  0.00000000E+00  0.00000000E+00
  7.08000000E+00  0.00000000E+00  0.00000000E+00
  7.12000000E+00  0.00000000E+00  0.00000000E+00
  7.16000000E+00  0.00000000E+00  0.00000000E+00
  7.20000000E+00  0.00000000E+00  0.00000000E+00
  7.24000000E+00  0.00000000E+00  0.00000000E+00
  7.28000000E+00  0.00000000E+00  0.00000000E+00
  7.32000000E+00  0.00000000E+00  0.00000000E+00
  7.36000000E+00  0.00000000E+00  0.00000000E+00
  7.40000000E+00  0.00000000E+00  0.00000000E+00
  7.44000000E+00  0.00000000E+00  0.00000000E+00
  7.48000000E+00  0.00000000E+00  0.00000000E+00
