#                  N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  4.00000000E-02  0.00000000E+00  0.00000000E+00
  8.00000000E-02  0.00000000E+00  0.00000000E+00
  1.20000000E-01  0.00000000E+00  0.00000000E+00
  1.60000000E-01  0.00000000E+00  0.00000000E+00
  2.00000000E-01  0.00000000E+00  0.00000000E+00
  2.40000000E-01  0.00000000E+00  0.00000000E+00
  2.80000000E-01  0.00000000E+00  0.00000000E+00
  3.20000000E-01  0.00000000E+00  0.00000000E+00
  3.60000000E-01  0.00000000E+00  0.00000000E+00
  4.00000000E-01  0.00000000E+00  0.00000000E+00
  4.40000000E-01  0.00000000E+00  0.00000000E+00
  4.80000000E-01  0.00000000E+00  0.00000000E+00
  5.20000000E-01  0.00000000E+00  0.00000000E+00
  5.60000000E-01  0.00000000E+00  0.00000000E+00
  6.00000000E-01  0.00000000E+00  0.00000000E+00
  6.40000000E-01  0.00000000E+00  0.00000000E+00
  6.80000000E-01  0.00000000E+00  0.00000000E+00
  7.20000000E-01  0.00000000E+00  0.00000000E+00
  7.60000000E-01  0.00000000E+00  0.00000000E+00
  8.00000000E-01  0.00000000E+00  0.00000000E+00
  8.40000000E-01  0.00000000E+00  0.00000000E+00
  8.80000000E-01  0.00000000E+00  0.00000000E+00
  9.20000000E-01  0.00000000E+00  0.00000000E+00
  9.60000000E-01  0.00000000E+00  0.00000000E+00
  1.00000000E+00  0.00000000E+00  0.00000000E+00
  1.04000000E+00  0.00000000E+00  0.00000000E+00
  1.08000000E+00  0.00000000E+00  0.00000000E+00
  1.12000000E+00  0.00000000E+00  0.00000000E+00
  1.16000000E+00  0.00000000E+00  0.00000000E+00
  1.20000000E+00  0.00000000E+00  0.00000000E+00
  1.24000000E+00  0.00000000E+00  0.00000000E+00
  1.28000000E+00  0.00000000E+00  0.00000000E+00
  1.32000000E+00  0.00000000E+00  0.00000000E+00
  1.36000000E+00  0.00000000E+00  0.00000000E+00
  1.40000000E+00  0.00000000E+00  0.00000000E+00
  1.44000000E+00  0.00000000E+00  0.00000000E+00
  1.48000000E+00  0.00000000E+00  0.00000000E+00
  1.52000000E+00  0.00000000E+00  0.00000000E+00
  1.56000000E+00  0.00000000E+00  0.00000000E+00
  1.60000000E+00  0.00000000E+00  0.00000000E+00
  1.64000000E+00  0.00000000E+00  0.00000000E+00
  1.68000000E+00  0.00000000E+00  0.00000000E+00
  1.72000000E+00  0.00000000E+00  0.00000000E+00
  1.76000000E+00  0.00000000E+00  0.00000000E+00
  1.80000000E+00  0.00000000E+00  0.00000000E+00
  1.84000000E+00  0.00000000E+00  0.00000000E+00
  1.88000000E+00  3.35063038E-11  3.40843748E-11
  1.92000000E+00  0.00000000E+00  0.00000000E+00
  1.96000000E+00  3.21525138E-11  3.27072284E-11
  2.00000000E+00  3.15158303E-11  3.20595604E-11
  2.04000000E+00  0.00000000E+00  0.00000000E+00
  2.08000000E+00  1.21260909E-10  9.68946281E-11
  2.12000000E+00  1.18994350E-10  5.94962825E-11
  2.16000000E+00  1.75216451E-10  9.23459777E-11
  2.20000000E+00  2.00735964E-10  1.11062605E-10
  2.24000000E+00  1.12676066E-10  6.89991420E-11
  2.28000000E+00  3.59828567E-10  1.49053028E-10
  2.32000000E+00  1.36029866E-10  9.05374252E-11
  2.36000000E+00  3.47733490E-10  2.12073354E-10
  2.40000000E+00  1.31533011E-10  6.91267795E-11
  2.44000000E+00  2.84667378E-10  1.29391778E-10
  2.48000000E+00  5.09295818E-10  1.92633782E-10
  2.52000000E+00  6.26594264E-10  2.09290887E-10
  2.56000000E+00  6.16879625E-10  2.09752966E-10
  2.60000000E+00  8.74744726E-10  2.45388100E-10
  2.64000000E+00  6.94059150E-10  2.04473518E-10
  2.68000000E+00  6.13041263E-10  1.84466980E-10
  2.72000000E+00  7.89966141E-10  1.85002016E-10
  2.76000000E+00  1.05339962E-09  2.43302666E-10
  2.80000000E+00  1.44481083E-09  2.76451857E-10
  2.84000000E+00  1.49138198E-09  2.89335636E-10
  2.88000000E+00  1.27323954E-09  2.48303233E-10
  2.92000000E+00  1.66733750E-09  2.90080223E-10
  2.96000000E+00  2.26448644E-09  3.54118800E-10
  3.00000000E+00  2.65609574E-09  3.92361544E-10
  3.04000000E+00  2.91263948E-09  3.89685828E-10
  3.08000000E+00  4.20990495E-09  4.38812432E-10
  3.12000000E+00  4.33874621E-09  4.61240544E-10
  3.16000000E+00  5.70555456E-09  6.76731767E-10
  3.20000000E+00  6.20803132E-09  6.23116751E-10
  3.24000000E+00  7.36213664E-09  6.54677652E-10
  3.28000000E+00  8.68117872E-09  6.24594755E-10
  3.32000000E+00  1.07501063E-08  8.13584727E-10
  3.36000000E+00  1.23745323E-08  8.67850410E-10
  3.40000000E+00  1.41471061E-08  8.22631813E-10
  3.44000000E+00  1.77186370E-08  9.45176384E-10
  3.48000000E+00  1.99171043E-08  1.07300969E-09
  3.52000000E+00  2.37743316E-08  1.19063706E-09
  3.56000000E+00  2.68162742E-08  1.37197975E-09
  3.60000000E+00  3.22706432E-08  1.32593556E-09
  3.64000000E+00  3.67360918E-08  1.50408418E-09
  3.68000000E+00  4.52860336E-08  1.73161557E-09
  3.72000000E+00  5.38743737E-08  1.99340445E-09
  3.76000000E+00  6.17420128E-08  1.86567514E-09
  3.80000000E+00  7.33279319E-08  2.29066314E-09
  3.84000000E+00  8.50860468E-08  2.20927948E-09
  3.88000000E+00  9.60642912E-08  2.51762208E-09
  3.92000000E+00  1.14365349E-07  2.89722790E-09
  3.96000000E+00  1.29707280E-07  3.15480553E-09
  4.00000000E+00  1.47309381E-07  3.29505309E-09
  4.04000000E+00  1.70946521E-07  3.77793686E-09
  4.08000000E+00  1.95566489E-07  4.02644120E-09
  4.12000000E+00  2.24354649E-07  4.24089675E-09
  4.16000000E+00  2.56445065E-07  4.84981948E-09
  4.20000000E+00  2.92256750E-07  5.45839498E-09
  4.24000000E+00  3.27380971E-07  5.90928309E-09
  4.28000000E+00  3.69417130E-07  6.40100810E-09
  4.32000000E+00  4.20051700E-07  6.84024413E-09
  4.36000000E+00  4.70618987E-07  8.14288102E-09
  4.40000000E+00  5.32960213E-07  8.68518434E-09
  4.44000000E+00  5.96267214E-07  9.46846767E-09
  4.48000000E+00  6.61207443E-07  1.02522436E-08
  4.52000000E+00  7.40442081E-07  1.14682602E-08
  4.56000000E+00  8.10467010E-07  1.27931303E-08
  4.60000000E+00  8.90744055E-07  1.35385986E-08
  4.64000000E+00  9.80421773E-07  1.50281982E-08
  4.68000000E+00  1.05283365E-06  1.62217292E-08
  4.72000000E+00  1.14619764E-06  1.75971213E-08
  4.76000000E+00  1.24234084E-06  1.92957098E-08
  4.80000000E+00  1.32010110E-06  2.05008893E-08
  4.84000000E+00  1.41363647E-06  2.22119116E-08
  4.88000000E+00  1.48485715E-06  2.37647220E-08
  4.92000000E+00  1.55964112E-06  2.57758900E-08
  4.96000000E+00  1.62798249E-06  2.60797052E-08
  5.00000000E+00  1.68198241E-06  2.77488542E-08
  5.04000000E+00  1.72093674E-06  2.77471412E-08
  5.08000000E+00  1.74839507E-06  2.91414468E-08
  5.12000000E+00  1.76276795E-06  2.83226120E-08
  5.16000000E+00  1.74409238E-06  2.84696952E-08
  5.20000000E+00  1.72219064E-06  2.91923131E-08
  5.24000000E+00  1.67699687E-06  3.01146939E-08
  5.28000000E+00  1.61528454E-06  2.73830287E-08
  5.32000000E+00  1.53102287E-06  2.70865724E-08
  5.36000000E+00  1.43164900E-06  2.48887296E-08
  5.40000000E+00  1.32291233E-06  2.34218080E-08
  5.44000000E+00  1.20989238E-06  2.19268767E-08
  5.48000000E+00  1.05831671E-06  1.98138298E-08
  5.52000000E+00  9.32877793E-07  1.74100266E-08
  5.56000000E+00  7.96276709E-07  1.46785039E-08
  5.60000000E+00  6.68450761E-07  1.32718177E-08
  5.64000000E+00  5.44444878E-07  1.02763451E-08
  5.68000000E+00  4.29718346E-07  8.69660281E-09
  5.72000000E+00  3.35234656E-07  6.79127572E-09
  5.76000000E+00  2.51563938E-07  5.13262641E-09
  5.80000000E+00  1.79555216E-07  3.71648144E-09
  5.84000000E+00  1.28432064E-07  3.20765791E-09
  5.88000000E+00  8.36669443E-08  2.00492212E-09
  5.92000000E+00  5.43377483E-08  1.41087059E-09
  5.96000000E+00  3.29700909E-08  1.04886168E-09
  6.00000000E+00  1.89399670E-08  6.98590933E-10
  6.04000000E+00  9.93799183E-09  5.32357882E-10
  6.08000000E+00  4.87379399E-09  3.12765383E-10
  6.12000000E+00  2.43657405E-09  2.33060606E-10
  6.16000000E+00  1.21555231E-09  1.47082376E-10
  6.20000000E+00  3.47991516E-10  7.65845374E-11
  6.24000000E+00  1.42375029E-10  4.06762914E-11
  6.28000000E+00  6.06304545E-11  3.50046592E-11
  6.32000000E+00  1.00413213E-11  1.02145602E-11
  6.36000000E+00  3.99134654E-11  4.06020766E-11
  6.40000000E+00  0.00000000E+00  0.00000000E+00
  6.44000000E+00  0.00000000E+00  0.00000000E+00
  6.48000000E+00  0.00000000E+00  0.00000000E+00
  6.52000000E+00  0.00000000E+00  0.00000000E+00
  6.56000000E+00  0.00000000E+00  0.00000000E+00
  6.60000000E+00  0.00000000E+00  0.00000000E+00
  6.64000000E+00  0.00000000E+00  0.00000000E+00
  6.68000000E+00  0.00000000E+00  0.00000000E+00
  6.72000000E+00  0.00000000E+00  0.00000000E+00
  6.76000000E+00  0.00000000E+00  0.00000000E+00
  6.80000000E+00  0.00000000E+00  0.00000000E+00
  6.84000000E+00  0.00000000E+00  0.00000000E+00
  6.88000000E+00  0.00000000E+00  0.00000000E+00
  6.92000000E+00  0.00000000E+00  0.00000000E+00
  6.96000000E+00  0.00000000E+00  0.00000000E+00
  7.00000000E+00  0.00000000E+00  0.00000000E+00
  7.04000000E+00  0.00000000E+00  0.00000000E+00
  7.08000000E+00  0.00000000E+00  0.00000000E+00
  7.12000000E+00  0.00000000E+00  0.00000000E+00
  7.16000000E+00  0.00000000E+00  0.00000000E+00
  7.20000000E+00  0.00000000E+00  0.00000000E+00
  7.24000000E+00  0.00000000E+00  0.00000000E+00
  7.28000000E+00  0.00000000E+00  0.00000000E+00
  7.32000000E+00  0.00000000E+00  0.00000000E+00
  7.36000000E+00  0.00000000E+00  0.00000000E+00
  7.40000000E+00  0.00000000E+00  0.00000000E+00
  7.44000000E+00  0.00000000E+00  0.00000000E+00
  7.48000000E+00  0.00000000E+00  0.00000000E+00
  7.52000000E+00  0.00000000E+00  0.00000000E+00
  7.56000000E+00  0.00000000E+00  0.00000000E+00
  7.60000000E+00  0.00000000E+00  0.00000000E+00
  7.64000000E+00  0.00000000E+00  0.00000000E+00
  7.68000000E+00  0.00000000E+00  0.00000000E+00
  7.72000000E+00  0.00000000E+00  0.00000000E+00
  7.76000000E+00  0.00000000E+00  0.00000000E+00
  7.80000000E+00  0.00000000E+00  0.00000000E+00
  7.84000000E+00  0.00000000E+00  0.00000000E+00
  7.88000000E+00  0.00000000E+00  0.00000000E+00
  7.92000000E+00  0.00000000E+00  0.00000000E+00
  7.96000000E+00  0.00000000E+00  0.00000000E+00
