#                  N = 50.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.68652945E-04  6.59524741E-05
  4.00000000E-02  1.26395762E-04  3.11944251E-05
  8.00000000E-02  1.70862569E-04  3.83775107E-05
  1.20000000E-01  1.97199292E-04  3.92364004E-05
  1.60000000E-01  2.45538846E-04  4.47246837E-05
  2.00000000E-01  2.67742699E-04  4.15779382E-05
  2.40000000E-01  3.02726313E-04  4.20345107E-05
  2.80000000E-01  3.74760522E-04  4.73399940E-05
  3.20000000E-01  4.43413606E-04  5.05613561E-05
  3.60000000E-01  5.38456448E-04  5.84637472E-05
  4.00000000E-01  6.62025618E-04  6.90633253E-05
  4.40000000E-01  7.60617037E-04  6.90398335E-05
  4.80000000E-01  8.96376873E-04  7.92306228E-05
  5.20000000E-01  1.09860951E-03  8.84393841E-05
  5.60000000E-01  1.31853801E-03  1.13132160E-04
  6.00000000E-01  1.53509782E-03  1.08618141E-04
  6.40000000E-01  1.76645580E-03  1.31968367E-04
  6.80000000E-01  2.10610680E-03  1.52413354E-04
  7.20000000E-01  2.47552858E-03  1.44463664E-04
  7.60000000E-01  2.89685367E-03  1.54394395E-04
  8.00000000E-01  3.30838835E-03  1.58801542E-04
  8.40000000E-01  3.81933979E-03  1.64388255E-04
  8.80000000E-01  4.40827532E-03  1.69960242E-04
  9.20000000E-01  5.05381603E-03  1.61775656E-04
  9.60000000E-01  5.77823731E-03  1.75153578E-04
  1.00000000E+00  6.59190610E-03  1.75753714E-04
  1.04000000E+00  7.53981381E-03  1.84285180E-04
  1.08000000E+00  8.60792086E-03  1.82981499E-04
  1.12000000E+00  9.72364269E-03  1.85535937E-04
  1.16000000E+00  1.10217357E-02  1.99072851E-04
  1.20000000E+00  1.23511715E-02  1.89726774E-04
  1.24000000E+00  1.39184525E-02  2.19690848E-04
  1.28000000E+00  1.56363289E-02  2.29182854E-04
  1.32000000E+00  1.74269255E-02  2.23834964E-04
  1.36000000E+00  1.92900302E-02  2.31211519E-04
  1.40000000E+00  2.13730571E-02  2.61519865E-04
  1.44000000E+00  2.34514539E-02  2.37082819E-04
  1.48000000E+00  2.57167940E-02  2.45405564E-04
  1.52000000E+00  2.79591157E-02  2.68918661E-04
  1.56000000E+00  3.03857433E-02  2.38146302E-04
  1.60000000E+00  3.28701654E-02  2.63282808E-04
  1.64000000E+00  3.53641719E-02  2.57130105E-04
  1.68000000E+00  3.78875843E-02  2.55868184E-04
  1.72000000E+00  4.04391858E-02  2.52514093E-04
  1.76000000E+00  4.31455518E-02  2.52804378E-04
  1.80000000E+00  4.55918027E-02  2.72675702E-04
  1.84000000E+00  4.82103106E-02  2.45418235E-04
  1.88000000E+00  5.06244062E-02  2.61985136E-04
  1.92000000E+00  5.28432172E-02  2.80684859E-04
  1.96000000E+00  5.48062565E-02  2.86966516E-04
  2.00000000E+00  5.66689957E-02  3.06590912E-04
  2.04000000E+00  5.81444807E-02  3.00297535E-04
  2.08000000E+00  5.94009549E-02  3.36863648E-04
  2.12000000E+00  6.03884657E-02  3.25572907E-04
  2.16000000E+00  6.10138760E-02  3.15707632E-04
  2.20000000E+00  6.11407378E-02  3.51972462E-04
  2.24000000E+00  6.08983762E-02  3.60982259E-04
  2.28000000E+00  6.04282296E-02  3.82212902E-04
  2.32000000E+00  5.93758995E-02  3.85401667E-04
  2.36000000E+00  5.80079882E-02  3.80399407E-04
  2.40000000E+00  5.61745229E-02  4.24215120E-04
  2.44000000E+00  5.42055297E-02  3.88433762E-04
  2.48000000E+00  5.16824355E-02  4.50359465E-04
  2.52000000E+00  4.90956958E-02  4.39348925E-04
  2.56000000E+00  4.61528986E-02  4.49674345E-04
  2.60000000E+00  4.30615574E-02  4.85590758E-04
  2.64000000E+00  3.97675342E-02  4.52975172E-04
  2.68000000E+00  3.65984218E-02  4.36073282E-04
  2.72000000E+00  3.33235427E-02  4.24786500E-04
  2.76000000E+00  3.00516548E-02  4.15571165E-04
  2.80000000E+00  2.69035855E-02  3.87882790E-04
  2.84000000E+00  2.37425924E-02  3.52639548E-04
  2.88000000E+00  2.09675235E-02  3.31717254E-04
  2.92000000E+00  1.83185208E-02  3.06741213E-04
  2.96000000E+00  1.58352982E-02  2.90442446E-04
  3.00000000E+00  1.35930700E-02  2.61760348E-04
  3.04000000E+00  1.15431036E-02  2.31181452E-04
  3.08000000E+00  9.70088568E-03  2.05857861E-04
  3.12000000E+00  8.12089255E-03  1.68904691E-04
  3.16000000E+00  6.77286634E-03  1.59853920E-04
  3.20000000E+00  5.55756043E-03  1.32301428E-04
  3.24000000E+00  4.63666021E-03  1.13025335E-04
  3.28000000E+00  3.74983432E-03  9.60307321E-05
  3.32000000E+00  3.11447340E-03  8.78016880E-05
  3.36000000E+00  2.52906039E-03  7.04837692E-05
  3.40000000E+00  2.11905335E-03  6.33400328E-05
  3.44000000E+00  1.76679612E-03  5.41506362E-05
  3.48000000E+00  1.49538633E-03  4.78854256E-05
  3.52000000E+00  1.30870869E-03  4.29977430E-05
  3.56000000E+00  1.19643552E-03  3.64309415E-05
  3.60000000E+00  1.17640406E-03  3.51375244E-05
  3.64000000E+00  1.14307699E-03  3.26592451E-05
  3.68000000E+00  1.21973660E-03  3.71034773E-05
  3.72000000E+00  1.34379505E-03  4.06791430E-05
  3.76000000E+00  1.53484624E-03  4.57849878E-05
  3.80000000E+00  1.78375504E-03  4.95260420E-05
  3.84000000E+00  2.06416997E-03  5.45104405E-05
  3.88000000E+00  2.43144422E-03  5.99532478E-05
  3.92000000E+00  2.86353829E-03  6.60179070E-05
  3.96000000E+00  3.41116024E-03  7.32614447E-05
  4.00000000E+00  3.98799215E-03  8.31908065E-05
  4.04000000E+00  4.76790413E-03  8.99211099E-05
  4.08000000E+00  5.63271689E-03  1.00541595E-04
  4.12000000E+00  6.70087365E-03  1.10345648E-04
  4.16000000E+00  7.85735554E-03  1.15073783E-04
  4.20000000E+00  9.21654207E-03  1.26225817E-04
  4.24000000E+00  1.07580477E-02  1.34495492E-04
  4.28000000E+00  1.25656789E-02  1.30119295E-04
  4.32000000E+00  1.46416893E-02  1.40562243E-04
  4.36000000E+00  1.70152974E-02  1.40786340E-04
  4.40000000E+00  1.95771760E-02  1.51406622E-04
  4.44000000E+00  2.25111071E-02  1.62637017E-04
  4.48000000E+00  2.57608394E-02  1.63005286E-04
  4.52000000E+00  2.93535928E-02  1.59358222E-04
  4.56000000E+00  3.32635585E-02  1.53825131E-04
  4.60000000E+00  3.74363906E-02  1.62625547E-04
  4.64000000E+00  4.18466466E-02  1.50667934E-04
  4.68000000E+00  4.66258624E-02  1.73186047E-04
  4.72000000E+00  5.15102898E-02  1.53099920E-04
  4.76000000E+00  5.68727997E-02  1.50646338E-04
  4.80000000E+00  6.21656506E-02  1.72773014E-04
  4.84000000E+00  6.73961724E-02  1.65248773E-04
  4.88000000E+00  7.27474584E-02  1.39168326E-04
  4.92000000E+00  7.77571339E-02  1.48673244E-04
  4.96000000E+00  8.24473232E-02  1.65252923E-04
  5.00000000E+00  8.67140201E-02  1.70724613E-04
  5.04000000E+00  9.02303898E-02  1.92903156E-04
  5.08000000E+00  9.32203164E-02  1.98949767E-04
  5.12000000E+00  9.52348425E-02  2.03438637E-04
  5.16000000E+00  9.62573209E-02  1.74304373E-04
  5.20000000E+00  9.61681445E-02  2.21365956E-04
  5.24000000E+00  9.49039802E-02  1.87512201E-04
  5.28000000E+00  9.24460535E-02  2.28520930E-04
  5.32000000E+00  8.88189326E-02  2.28830562E-04
  5.36000000E+00  8.39988277E-02  2.21443550E-04
  5.40000000E+00  7.83448602E-02  2.02799744E-04
  5.44000000E+00  7.17490540E-02  1.88139588E-04
  5.48000000E+00  6.44152133E-02  1.86275092E-04
  5.52000000E+00  5.67110337E-02  1.84530675E-04
  5.56000000E+00  4.89650199E-02  1.65326794E-04
  5.60000000E+00  4.13392038E-02  1.59178531E-04
  5.64000000E+00  3.39194336E-02  1.37170420E-04
  5.68000000E+00  2.72359089E-02  1.13176098E-04
  5.72000000E+00  2.11768059E-02  9.94380488E-05
  5.76000000E+00  1.58712774E-02  6.99136600E-05
  5.80000000E+00  1.15714389E-02  5.66534177E-05
  5.84000000E+00  8.13027294E-03  4.55256924E-05
  5.88000000E+00  5.44076590E-03  3.33771406E-05
  5.92000000E+00  3.46429680E-03  2.42757160E-05
  5.96000000E+00  2.12394201E-03  1.87729526E-05
  6.00000000E+00  1.23597676E-03  1.27053128E-05
  6.04000000E+00  6.59821421E-04  8.64542494E-06
  6.08000000E+00  3.24617554E-04  6.10500620E-06
  6.12000000E+00  1.53743894E-04  4.25485812E-06
  6.16000000E+00  6.75246238E-05  2.97720807E-06
  6.20000000E+00  2.55995738E-05  1.49584561E-06
  6.24000000E+00  1.08473211E-05  1.01860526E-06
  6.28000000E+00  2.65537842E-06  4.27665163E-07
  6.32000000E+00  1.44013921E-06  4.69234419E-07
  6.36000000E+00  1.09908692E-07  6.74812142E-08
  6.40000000E+00  2.95009899E-08  2.95795614E-08
  6.44000000E+00  0.00000000E+00  0.00000000E+00
  6.48000000E+00  0.00000000E+00  0.00000000E+00
  6.52000000E+00  0.00000000E+00  0.00000000E+00
  6.56000000E+00  0.00000000E+00  0.00000000E+00
  6.60000000E+00  0.00000000E+00  0.00000000E+00
  6.64000000E+00  0.00000000E+00  0.00000000E+00
  6.68000000E+00  0.00000000E+00  0.00000000E+00
  6.72000000E+00  0.00000000E+00  0.00000000E+00
  6.76000000E+00  0.00000000E+00  0.00000000E+00
  6.80000000E+00  0.00000000E+00  0.00000000E+00
  6.84000000E+00  0.00000000E+00  0.00000000E+00
  6.88000000E+00  0.00000000E+00  0.00000000E+00
  6.92000000E+00  0.00000000E+00  0.00000000E+00
  6.96000000E+00  0.00000000E+00  0.00000000E+00
  7.00000000E+00  0.00000000E+00  0.00000000E+00
  7.04000000E+00  0.00000000E+00  0.00000000E+00
  7.08000000E+00  0.00000000E+00  0.00000000E+00
  7.12000000E+00  0.00000000E+00  0.00000000E+00
  7.16000000E+00  0.00000000E+00  0.00000000E+00
  7.20000000E+00  0.00000000E+00  0.00000000E+00
  7.24000000E+00  0.00000000E+00  0.00000000E+00
  7.28000000E+00  0.00000000E+00  0.00000000E+00
  7.32000000E+00  0.00000000E+00  0.00000000E+00
  7.36000000E+00  0.00000000E+00  0.00000000E+00
  7.40000000E+00  0.00000000E+00  0.00000000E+00
  7.44000000E+00  0.00000000E+00  0.00000000E+00
  7.48000000E+00  0.00000000E+00  0.00000000E+00
  7.52000000E+00  0.00000000E+00  0.00000000E+00
  7.56000000E+00  0.00000000E+00  0.00000000E+00
  7.60000000E+00  0.00000000E+00  0.00000000E+00
  7.64000000E+00  0.00000000E+00  0.00000000E+00
  7.68000000E+00  0.00000000E+00  0.00000000E+00
  7.72000000E+00  0.00000000E+00  0.00000000E+00
  7.76000000E+00  0.00000000E+00  0.00000000E+00
  7.80000000E+00  0.00000000E+00  0.00000000E+00
  7.84000000E+00  0.00000000E+00  0.00000000E+00
  7.88000000E+00  0.00000000E+00  0.00000000E+00
  7.92000000E+00  0.00000000E+00  0.00000000E+00
  7.96000000E+00  0.00000000E+00  0.00000000E+00
