#                  N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  2.82456140E-02  3.87652717E-05
  3.00000000E-02  2.82179479E-02  3.02662088E-05
  6.00000000E-02  2.81452544E-02  2.97981608E-05
  9.00000000E-02  2.81020596E-02  2.88174676E-05
  1.20000000E-01  2.80307911E-02  2.97983665E-05
  1.50000000E-01  2.79281966E-02  2.90244065E-05
  1.80000000E-01  2.78073584E-02  2.83946684E-05
  2.10000000E-01  2.76615863E-02  2.77891667E-05
  2.40000000E-01  2.75001207E-02  2.72039817E-05
  2.70000000E-01  2.73270653E-02  2.68497035E-05
  3.00000000E-01  2.71251090E-02  2.57945708E-05
  3.30000000E-01  2.69143189E-02  2.58341847E-05
  3.60000000E-01  2.66679070E-02  2.61904944E-05
  3.90000000E-01  2.64150065E-02  2.35492343E-05
  4.20000000E-01  2.61400268E-02  2.48774774E-05
  4.50000000E-01  2.58499273E-02  2.46912614E-05
  4.80000000E-01  2.55523169E-02  2.44235753E-05
  5.10000000E-01  2.52126054E-02  2.34840069E-05
  5.40000000E-01  2.48635884E-02  2.30891336E-05
  5.70000000E-01  2.45117906E-02  2.22349060E-05
  6.00000000E-01  2.41319113E-02  2.30267073E-05
  6.30000000E-01  2.37411472E-02  2.25527322E-05
  6.60000000E-01  2.33379962E-02  2.17669835E-05
  6.90000000E-01  2.29190824E-02  2.06404171E-05
  7.20000000E-01  2.24834175E-02  2.06732951E-05
  7.50000000E-01  2.20342533E-02  2.05788560E-05
  7.80000000E-01  2.15793358E-02  1.93372067E-05
  8.10000000E-01  2.11031457E-02  1.89977927E-05
  8.40000000E-01  2.06274597E-02  1.82643839E-05
  8.70000000E-01  2.01266763E-02  1.80046880E-05
  9.00000000E-01  1.96278965E-02  1.76226184E-05
  9.30000000E-01  1.91176915E-02  1.65648877E-05
  9.60000000E-01  1.85969435E-02  1.58562746E-05
  9.90000000E-01  1.80706448E-02  1.50639162E-05
  1.02000000E+00  1.75388689E-02  1.47400413E-05
  1.05000000E+00  1.69992933E-02  1.43261589E-05
  1.08000000E+00  1.64570120E-02  1.37326506E-05
  1.11000000E+00  1.59119670E-02  1.32959758E-05
  1.14000000E+00  1.53684802E-02  1.33208814E-05
  1.17000000E+00  1.48128436E-02  1.21139279E-05
  1.20000000E+00  1.42621990E-02  1.15184100E-05
  1.23000000E+00  1.37146842E-02  1.12289638E-05
  1.26000000E+00  1.31603618E-02  1.07977988E-05
  1.29000000E+00  1.26153667E-02  1.02936151E-05
  1.32000000E+00  1.20719485E-02  9.57170410E-06
  1.35000000E+00  1.15324394E-02  9.12220153E-06
  1.38000000E+00  1.09974215E-02  8.86152387E-06
  1.41000000E+00  1.04710885E-02  7.89873450E-06
  1.44000000E+00  9.94767909E-03  8.02425317E-06
  1.47000000E+00  9.43680503E-03  7.39363992E-06
  1.50000000E+00  8.93256989E-03  7.16016646E-06
  1.53000000E+00  8.43785851E-03  6.70109184E-06
  1.56000000E+00  7.95713056E-03  6.33486814E-06
  1.59000000E+00  7.48344562E-03  6.58313237E-06
  1.62000000E+00  7.02620954E-03  5.95303957E-06
  1.65000000E+00  6.58076665E-03  5.39514447E-06
  1.68000000E+00  6.15093821E-03  5.15852024E-06
  1.71000000E+00  5.73043563E-03  4.74627631E-06
  1.74000000E+00  5.33123902E-03  4.74942478E-06
  1.77000000E+00  4.94326511E-03  4.35247147E-06
  1.80000000E+00  4.57241506E-03  4.07891240E-06
  1.83000000E+00  4.21743229E-03  3.80517532E-06
  1.86000000E+00  3.87958326E-03  3.41367012E-06
  1.89000000E+00  3.55714135E-03  3.25090856E-06
  1.92000000E+00  3.25303764E-03  3.00518551E-06
  1.95000000E+00  2.96258850E-03  2.71383598E-06
  1.98000000E+00  2.69103179E-03  2.51271873E-06
  2.01000000E+00  2.43521003E-03  2.35173661E-06
  2.04000000E+00  2.19770328E-03  2.18601258E-06
  2.07000000E+00  1.97370669E-03  2.06564719E-06
  2.10000000E+00  1.76778521E-03  1.77080048E-06
  2.13000000E+00  1.57629086E-03  1.66255679E-06
  2.16000000E+00  1.39874155E-03  1.54570358E-06
  2.19000000E+00  1.23711034E-03  1.46000397E-06
  2.22000000E+00  1.08912356E-03  1.22618358E-06
  2.25000000E+00  9.54600396E-04  1.06659662E-06
  2.28000000E+00  8.31519626E-04  9.45076287E-07
  2.31000000E+00  7.21432714E-04  8.85309811E-07
  2.34000000E+00  6.23559741E-04  7.46600032E-07
  2.37000000E+00  5.35281507E-04  7.03756261E-07
  2.40000000E+00  4.56573191E-04  6.31556434E-07
  2.43000000E+00  3.87582797E-04  5.21623205E-07
  2.46000000E+00  3.26672661E-04  4.57235588E-07
  2.49000000E+00  2.74021108E-04  4.02628461E-07
  2.52000000E+00  2.28250347E-04  3.51546756E-07
  2.55000000E+00  1.88586483E-04  3.28373582E-07
  2.58000000E+00  1.54860078E-04  2.58719024E-07
  2.61000000E+00  1.26034547E-04  2.24373459E-07
  2.64000000E+00  1.02021799E-04  2.01794948E-07
  2.67000000E+00  8.18091578E-05  1.79227023E-07
  2.70000000E+00  6.49628232E-05  1.48585912E-07
  2.73000000E+00  5.11266827E-05  1.30786663E-07
  2.76000000E+00  3.99314839E-05  1.16143054E-07
  2.79000000E+00  3.08326720E-05  9.70083749E-08
  2.82000000E+00  2.35725518E-05  8.00730586E-08
  2.85000000E+00  1.77813569E-05  6.73321826E-08
  2.88000000E+00  1.33679743E-05  5.34423860E-08
  2.91000000E+00  9.83785402E-06  4.60333705E-08
  2.94000000E+00  7.21301333E-06  4.02705661E-08
  2.97000000E+00  5.20622034E-06  3.22478483E-08
  3.00000000E+00  3.69314075E-06  2.59297055E-08
  3.03000000E+00  2.56443128E-06  2.33030810E-08
  3.06000000E+00  1.77519267E-06  1.79145581E-08
  3.09000000E+00  1.22933568E-06  1.40458642E-08
  3.12000000E+00  7.90071874E-07  1.11345854E-08
  3.15000000E+00  5.27559665E-07  9.18273408E-09
  3.18000000E+00  3.29355256E-07  6.93624785E-09
  3.21000000E+00  2.15404495E-07  5.99939174E-09
  3.24000000E+00  1.30570617E-07  4.51606259E-09
  3.27000000E+00  7.54253928E-08  3.16496799E-09
  3.30000000E+00  4.52195281E-08  2.54826395E-09
  3.33000000E+00  2.54013510E-08  1.85269548E-09
  3.36000000E+00  1.21476484E-08  1.17064564E-09
  3.39000000E+00  7.22935816E-09  1.08388094E-09
  3.42000000E+00  3.38542101E-09  6.12390194E-10
  3.45000000E+00  2.10675519E-09  4.37341168E-10
  3.48000000E+00  1.11719636E-09  3.01595342E-10
  3.51000000E+00  4.81603611E-10  2.54834124E-10
  3.54000000E+00  1.91015778E-10  9.55064564E-11
  3.57000000E+00  9.47086597E-11  7.56778127E-11
  3.60000000E+00  9.39226958E-11  9.55431069E-11
  3.63000000E+00  6.98622521E-11  7.10675579E-11
  3.66000000E+00  0.00000000E+00  0.00000000E+00
  3.69000000E+00  0.00000000E+00  0.00000000E+00
  3.72000000E+00  0.00000000E+00  0.00000000E+00
  3.75000000E+00  0.00000000E+00  0.00000000E+00
  3.78000000E+00  0.00000000E+00  0.00000000E+00
  3.81000000E+00  0.00000000E+00  0.00000000E+00
  3.84000000E+00  0.00000000E+00  0.00000000E+00
  3.87000000E+00  0.00000000E+00  0.00000000E+00
  3.90000000E+00  0.00000000E+00  0.00000000E+00
  3.93000000E+00  0.00000000E+00  0.00000000E+00
  3.96000000E+00  0.00000000E+00  0.00000000E+00
  3.99000000E+00  0.00000000E+00  0.00000000E+00
  4.02000000E+00  0.00000000E+00  0.00000000E+00
  4.05000000E+00  0.00000000E+00  0.00000000E+00
  4.08000000E+00  0.00000000E+00  0.00000000E+00
  4.11000000E+00  0.00000000E+00  0.00000000E+00
  4.14000000E+00  0.00000000E+00  0.00000000E+00
  4.17000000E+00  0.00000000E+00  0.00000000E+00
  4.20000000E+00  0.00000000E+00  0.00000000E+00
  4.23000000E+00  0.00000000E+00  0.00000000E+00
  4.26000000E+00  0.00000000E+00  0.00000000E+00
  4.29000000E+00  0.00000000E+00  0.00000000E+00
