#                  N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  3.88393518E-02  5.41111922E-05
  3.00000000E-02  3.88303486E-02  4.26902549E-05
  6.00000000E-02  3.88238341E-02  3.84487946E-05
  9.00000000E-02  3.87356478E-02  3.64263719E-05
  1.20000000E-01  3.86753566E-02  3.59661683E-05
  1.50000000E-01  3.85716175E-02  3.37848690E-05
  1.80000000E-01  3.84389835E-02  3.15592417E-05
  2.10000000E-01  3.83125075E-02  3.08410079E-05
  2.40000000E-01  3.81441693E-02  3.03285700E-05
  2.70000000E-01  3.79809718E-02  2.98249642E-05
  3.00000000E-01  3.77876238E-02  2.91736095E-05
  3.30000000E-01  3.75311093E-02  2.75802810E-05
  3.60000000E-01  3.73156849E-02  2.70374702E-05
  3.90000000E-01  3.70503865E-02  2.55560634E-05
  4.20000000E-01  3.67730028E-02  2.47269401E-05
  4.50000000E-01  3.64944270E-02  2.38034081E-05
  4.80000000E-01  3.61637918E-02  2.33191384E-05
  5.10000000E-01  3.58358235E-02  2.20206472E-05
  5.40000000E-01  3.54759792E-02  2.11425088E-05
  5.70000000E-01  3.50915978E-02  2.05767723E-05
  6.00000000E-01  3.47050331E-02  1.96762899E-05
  6.30000000E-01  3.42964520E-02  1.89264870E-05
  6.60000000E-01  3.38638048E-02  1.75221941E-05
  6.90000000E-01  3.33981546E-02  1.69318412E-05
  7.20000000E-01  3.29266985E-02  1.64634075E-05
  7.50000000E-01  3.24349993E-02  1.52326033E-05
  7.80000000E-01  3.19305781E-02  1.45253859E-05
  8.10000000E-01  3.13927040E-02  1.40626994E-05
  8.40000000E-01  3.08571293E-02  1.35073095E-05
  8.70000000E-01  3.02953631E-02  1.32495080E-05
  9.00000000E-01  2.97160435E-02  1.26867319E-05
  9.30000000E-01  2.91151701E-02  1.30121908E-05
  9.60000000E-01  2.85067018E-02  1.15803243E-05
  9.90000000E-01  2.78748182E-02  1.13597443E-05
  1.02000000E+00  2.72409254E-02  1.11020861E-05
  1.05000000E+00  2.65866199E-02  1.11922502E-05
  1.08000000E+00  2.59090764E-02  1.16048245E-05
  1.11000000E+00  2.52264656E-02  1.14168023E-05
  1.14000000E+00  2.45316911E-02  1.15597744E-05
  1.17000000E+00  2.38329218E-02  1.18783198E-05
  1.20000000E+00  2.31195287E-02  1.18937158E-05
  1.23000000E+00  2.23917618E-02  1.21085006E-05
  1.26000000E+00  2.16617496E-02  1.24557606E-05
  1.29000000E+00  2.09211774E-02  1.25101647E-05
  1.32000000E+00  2.01766573E-02  1.32716911E-05
  1.35000000E+00  1.94277744E-02  1.31548493E-05
  1.38000000E+00  1.86790048E-02  1.32505040E-05
  1.41000000E+00  1.79264762E-02  1.36006517E-05
  1.44000000E+00  1.71723017E-02  1.33629470E-05
  1.47000000E+00  1.64215333E-02  1.35172136E-05
  1.50000000E+00  1.56686066E-02  1.38424198E-05
  1.53000000E+00  1.49236590E-02  1.34981929E-05
  1.56000000E+00  1.41865427E-02  1.33799390E-05
  1.59000000E+00  1.34579502E-02  1.33203546E-05
  1.62000000E+00  1.27360334E-02  1.31074005E-05
  1.65000000E+00  1.20259339E-02  1.25921735E-05
  1.68000000E+00  1.13247768E-02  1.26887010E-05
  1.71000000E+00  1.06457009E-02  1.18878497E-05
  1.74000000E+00  9.97402362E-03  1.17412134E-05
  1.77000000E+00  9.32605102E-03  1.16223968E-05
  1.80000000E+00  8.69446034E-03  1.11226139E-05
  1.83000000E+00  8.08543406E-03  1.04912389E-05
  1.86000000E+00  7.49093743E-03  9.69261306E-06
  1.89000000E+00  6.92417719E-03  9.41362040E-06
  1.92000000E+00  6.37512663E-03  9.13994526E-06
  1.95000000E+00  5.85332020E-03  8.58783203E-06
  1.98000000E+00  5.35709746E-03  7.81442142E-06
  2.01000000E+00  4.88513463E-03  7.27505104E-06
  2.04000000E+00  4.43592126E-03  6.79682048E-06
  2.07000000E+00  4.01377341E-03  6.41800774E-06
  2.10000000E+00  3.61617673E-03  5.76531411E-06
  2.13000000E+00  3.24648700E-03  5.39397514E-06
  2.16000000E+00  2.90205975E-03  4.82252268E-06
  2.19000000E+00  2.58223489E-03  4.45535149E-06
  2.22000000E+00  2.28813573E-03  3.93016664E-06
  2.25000000E+00  2.01658482E-03  3.52762349E-06
  2.28000000E+00  1.76941095E-03  3.29696132E-06
  2.31000000E+00  1.54453716E-03  2.91423391E-06
