#                  N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  4.61329383E-03  1.68437719E-05
  4.00000000E-02  4.62504159E-03  1.50657272E-05
  8.00000000E-02  4.63494272E-03  1.44795058E-05
  1.20000000E-01  4.64179302E-03  1.43167411E-05
  1.60000000E-01  4.65117730E-03  1.40607757E-05
  2.00000000E-01  4.66492861E-03  1.39791418E-05
  2.40000000E-01  4.68762849E-03  1.37174977E-05
  2.80000000E-01  4.70666027E-03  1.35192254E-05
  3.20000000E-01  4.73008847E-03  1.32407739E-05
  3.60000000E-01  4.75487907E-03  1.31005999E-05
  4.00000000E-01  4.78606182E-03  1.29314463E-05
  4.40000000E-01  4.81793470E-03  1.28210161E-05
  4.80000000E-01  4.85137485E-03  1.27624565E-05
  5.20000000E-01  4.88830826E-03  1.27031841E-05
  5.60000000E-01  4.92825202E-03  1.25472571E-05
  6.00000000E-01  4.97319213E-03  1.25487093E-05
  6.40000000E-01  5.01693083E-03  1.26442003E-05
  6.80000000E-01  5.06221772E-03  1.25259253E-05
  7.20000000E-01  5.11269623E-03  1.26572426E-05
  7.60000000E-01  5.16587963E-03  1.27723128E-05
  8.00000000E-01  5.22319614E-03  1.27250575E-05
  8.40000000E-01  5.27728825E-03  1.28418796E-05
  8.80000000E-01  5.33558699E-03  1.28976490E-05
  9.20000000E-01  5.39388151E-03  1.30179618E-05
  9.60000000E-01  5.45998916E-03  1.32465782E-05
  1.00000000E+00  5.52283811E-03  1.32610211E-05
  1.04000000E+00  5.58720833E-03  1.33001867E-05
  1.08000000E+00  5.65230568E-03  1.34782935E-05
  1.12000000E+00  5.72024081E-03  1.36558437E-05
  1.16000000E+00  5.78864871E-03  1.38934992E-05
  1.20000000E+00  5.85872353E-03  1.40329005E-05
  1.24000000E+00  5.92703927E-03  1.42182698E-05
  1.28000000E+00  5.99943794E-03  1.44494699E-05
  1.32000000E+00  6.06999175E-03  1.47602590E-05
  1.36000000E+00  6.13890989E-03  1.47917120E-05
  1.40000000E+00  6.20904665E-03  1.49881967E-05
  1.44000000E+00  6.28026125E-03  1.53438235E-05
  1.48000000E+00  6.34812905E-03  1.55864072E-05
  1.52000000E+00  6.41498483E-03  1.59205500E-05
  1.56000000E+00  6.48336377E-03  1.61955197E-05
  1.60000000E+00  6.54751489E-03  1.65543049E-05
  1.64000000E+00  6.61238066E-03  1.66993689E-05
  1.68000000E+00  6.67404922E-03  1.68449046E-05
  1.72000000E+00  6.73134058E-03  1.74266545E-05
  1.76000000E+00  6.78736047E-03  1.74146987E-05
  1.80000000E+00  6.83999433E-03  1.74342493E-05
  1.84000000E+00  6.88982443E-03  1.75760462E-05
  1.88000000E+00  6.93339770E-03  1.78072485E-05
  1.92000000E+00  6.97683222E-03  1.78119055E-05
  1.96000000E+00  7.01327748E-03  1.80379838E-05
  2.00000000E+00  7.04535126E-03  1.83134309E-05
  2.04000000E+00  7.07432689E-03  1.82769068E-05
  2.08000000E+00  7.09612240E-03  1.85495888E-05
  2.12000000E+00  7.11169364E-03  1.86621029E-05
  2.16000000E+00  7.12238903E-03  1.83616359E-05
  2.20000000E+00  7.12589477E-03  1.85085964E-05
  2.24000000E+00  7.12423784E-03  1.86415837E-05
  2.28000000E+00  7.11469097E-03  1.86526518E-05
  2.32000000E+00  7.10182322E-03  1.87670178E-05
  2.36000000E+00  7.07506528E-03  1.86229431E-05
  2.40000000E+00  7.04580604E-03  1.88256797E-05
  2.44000000E+00  7.00557792E-03  1.85045311E-05
  2.48000000E+00  6.95853583E-03  1.85560947E-05
  2.52000000E+00  6.90414299E-03  1.83760209E-05
  2.56000000E+00  6.83877872E-03  1.83340217E-05
  2.60000000E+00  6.76693101E-03  1.82651292E-05
  2.64000000E+00  6.68546058E-03  1.82057093E-05
  2.68000000E+00  6.59433622E-03  1.80440341E-05
  2.72000000E+00  6.49527912E-03  1.77318892E-05
  2.76000000E+00  6.38712342E-03  1.72179930E-05
  2.80000000E+00  6.27097372E-03  1.73120996E-05
  2.84000000E+00  6.14457531E-03  1.70015837E-05
  2.88000000E+00  6.01077128E-03  1.65627713E-05
  2.92000000E+00  5.86802554E-03  1.62891596E-05
  2.96000000E+00  5.71958294E-03  1.60269191E-05
  3.00000000E+00  5.55946328E-03  1.53493337E-05
  3.04000000E+00  5.39508906E-03  1.52170777E-05
  3.08000000E+00  5.22744770E-03  1.47779521E-05
  3.12000000E+00  5.04977971E-03  1.42347844E-05
  3.16000000E+00  4.86691332E-03  1.37703981E-05
  3.20000000E+00  4.67885159E-03  1.32488951E-05
  3.24000000E+00  4.48726645E-03  1.27873071E-05
  3.28000000E+00  4.29194592E-03  1.22721304E-05
  3.32000000E+00  4.09443110E-03  1.17687077E-05
  3.36000000E+00  3.89339353E-03  1.12371598E-05
  3.40000000E+00  3.69255134E-03  1.06484590E-05
  3.44000000E+00  3.48934992E-03  1.00381963E-05
  3.48000000E+00  3.28830050E-03  9.55937406E-06
  3.52000000E+00  3.08686274E-03  8.90215117E-06
  3.56000000E+00  2.88727346E-03  8.38502990E-06
  3.60000000E+00  2.68994960E-03  7.76981546E-06
  3.64000000E+00  2.49829875E-03  7.21032203E-06
  3.68000000E+00  2.31108303E-03  6.69585852E-06
  3.72000000E+00  2.12865971E-03  6.17609227E-06
  3.76000000E+00  1.95143076E-03  5.64176125E-06
  3.80000000E+00  1.78075611E-03  5.14230096E-06
  3.84000000E+00  1.61759882E-03  4.68804594E-06
  3.88000000E+00  1.46158540E-03  4.22883446E-06
  3.92000000E+00  1.31445589E-03  3.84067155E-06
  3.96000000E+00  1.17562422E-03  3.46313714E-06
  4.00000000E+00  1.04464625E-03  3.04566630E-06
  4.04000000E+00  9.22900236E-04  2.69934423E-06
  4.08000000E+00  8.10712533E-04  2.35766044E-06
  4.12000000E+00  7.07319873E-04  2.09775132E-06
  4.16000000E+00  6.12470881E-04  1.79354444E-06
  4.20000000E+00  5.26451333E-04  1.55342079E-06
  4.24000000E+00  4.49663136E-04  1.34225106E-06
  4.28000000E+00  3.80345063E-04  1.12351917E-06
  4.32000000E+00  3.19190636E-04  9.76177894E-07
  4.36000000E+00  2.65586388E-04  8.13818955E-07
  4.40000000E+00  2.18942931E-04  6.69045123E-07
  4.44000000E+00  1.78319739E-04  5.47714363E-07
  4.48000000E+00  1.44024656E-04  4.54519658E-07
  4.52000000E+00  1.14988535E-04  3.66317500E-07
  4.56000000E+00  9.08215667E-05  2.92117243E-07
  4.60000000E+00  7.06545702E-05  2.35606082E-07
  4.64000000E+00  5.42326685E-05  1.80144601E-07
  4.68000000E+00  4.10907857E-05  1.48935061E-07
  4.72000000E+00  3.06399858E-05  1.11423968E-07
  4.76000000E+00  2.24959186E-05  8.95984269E-08
