#              N               K              ΔK               V              ΔV           V_ext          ΔV_ext           V_int          ΔV_int               E              ΔE            E_mu           ΔE_mu             K/N            ΔK/N             V/N            ΔV/N             E/N            ΔE/N               N              ΔN             N^2            ΔN^2         density        Δdensity
  8.00000000E+01  2.40764496E+03  1.64989190E+01 -4.88925041E+03  1.68584615E+01 -3.06963426E+03  8.41119914E+00 -1.81971365E+03  8.56179092E+00 -2.48160546E+03  1.58917752E+01 -2.46498789E+03  1.58724472E+01  2.89741161E+01  1.77527503E-01 -5.88389387E+01  6.48462282E-02 -2.98648226E+01  1.78759046E-01  8.30878278E+01  2.02760756E-01  6.90524811E+03  3.39392665E+01  1.65297981E-02  4.03379687E-05
  8.00000000E+01  2.33900008E+03  1.41605853E+01 -4.87162973E+03  1.25785186E+01 -3.05869774E+03  3.50157074E+00 -1.81282531E+03  9.32739430E+00 -2.53262965E+03  1.56396456E+01 -2.12087639E+03  1.53157418E+01  2.84024193E+01  1.63931944E-01 -5.91531757E+01  6.33213874E-02 -3.07507564E+01  1.70124056E-01  8.23506534E+01  1.29369440E-01  6.78234575E+03  2.12295397E+01  1.63831419E-02  2.57372279E-05
  7.00000000E+01  2.09977745E+03  3.26511152E+01 -4.56010108E+03  2.93063725E+01 -2.92882624E+03  1.26614731E+01 -1.63138265E+03  1.69157134E+01 -2.46032363E+03  1.49819846E+01 -1.67556224E+03  1.53216250E+01  2.67076529E+01  3.10764309E-01 -5.80854685E+01  1.12485087E-01 -3.13778156E+01  2.33090254E-01  7.84761387E+01  3.53081718E-01  6.16426028E+03  5.57470239E+01  1.56123318E-02  7.02433752E-05
  6.00000000E+01  1.90161821E+03  1.59804025E+01 -4.33515722E+03  1.35931435E+01 -2.82535404E+03  8.00061313E+00 -1.50989464E+03  7.04072579E+00 -2.43353901E+03  1.57438297E+01 -1.29881639E+03  1.49588434E+01  2.51332487E+01  1.91532394E-01 -5.73012093E+01  5.72938560E-02 -3.21679606E+01  1.92791778E-01  7.56481747E+01  1.73130314E-01  5.72427255E+03  2.59344089E+01  1.50497262E-02  3.44431832E-05
  5.00000000E+01  1.52607262E+03  1.40536642E+01 -3.81041240E+03  1.42323053E+01 -2.58637545E+03  7.08284765E+00 -1.22400539E+03  7.51663017E+00 -2.28433978E+03  1.18583136E+01 -9.12002414E+02  1.07905963E+01  2.22289777E+01  1.70480079E-01 -5.55233777E+01  5.52403075E-02 -3.32944001E+01  1.56364264E-01  6.86168684E+01  1.91329969E-01  4.71041428E+03  2.62352854E+01  1.36508922E-02  3.80638868E-05
  5.00000000E+01  1.21676842E+03  1.30606050E+01 -3.33763952E+03  1.25662250E+01 -2.37816828E+03  6.30036308E+00 -9.59400612E+02  6.62541444E+00 -2.12087109E+03  9.98405701E+00 -5.72923166E+02  9.48855772E+00  1.96357348E+01  1.75606814E-01 -5.38938483E+01  4.93775734E-02 -3.42581135E+01  1.59123085E-01  6.19179171E+01  1.80599509E-01  3.83652203E+03  2.24260123E+01  1.23181782E-02  3.59291306E-05
  4.00000000E+01  9.02140106E+02  7.11224769E+00 -2.78635400E+03  7.39268713E+00 -2.08645801E+03  4.18010027E+00 -6.99896276E+02  3.30830395E+00 -1.88421389E+03  7.92504829E+00 -2.69059017E+02  6.69640262E+00  1.67437097E+01  1.23963412E-01 -5.17416112E+01  3.33644742E-02 -3.49979015E+01  1.22109846E-01  5.38384959E+01  1.09989148E-01  2.90125826E+03  1.18162744E+01  1.07108284E-02  2.18816452E-05
  3.00000000E+01  5.13146832E+02  3.26103013E+00 -1.88493044E+03  5.39528664E+00 -1.56825578E+03  3.59631302E+00 -3.16644759E+02  1.81851951E+00 -1.37178361E+03  4.44940867E+00 -2.53652705E+01  2.70912506E+00  1.32991924E+01  7.17313866E-02 -4.89509374E+01  2.23242566E-02 -3.56517451E+01  6.93857449E-02  3.84690955E+01  9.33450329E-02  1.49006702E+03  7.22245596E+00  7.65318338E-03  1.85704042E-05
  2.00000000E+01  1.77642469E+01  7.16415542E-02 -8.86646649E+01  1.91913533E-01 -8.74617793E+01  1.85632477E-01 -1.20282933E+00  7.30111016E-03 -7.09004181E+01  1.61307766E-01  1.31587979E+01  6.52253510E-02  8.29127363E+00  2.72336019E-02 -4.19328873E+01  2.68091806E-03 -3.36416136E+01  2.72299208E-02  2.10148040E+00  4.41835616E-03  6.93397560E+00  2.75302442E-02  4.18076242E-04  8.79004029E-07
  1.00000000E+01  1.19776265E+00  1.13226445E-02 -6.12281390E+00  1.88228142E-02 -6.11678506E+00  1.87761276E-02 -6.08601484E-03  1.41905613E-04 -4.92505126E+00  1.77224631E-02  1.68570524E+00  1.18015566E-02             NAN             NAN             NAN             NAN             NAN             NAN  1.46905700E-01  4.45503258E-04  1.70082500E-01  6.27575717E-04  2.92259604E-05  8.86300570E-08
