#                  N = 80.00                                       N = 80.00                                       N = 70.00                                       N = 60.00                                       N = 50.00                                       N = 50.00                                       N = 40.00                                       N = 30.00                                       N = 20.00                                       N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.84682646E-04  5.22982684E-05  0.00000000E+00  1.76760708E-04  6.57386741E-05  0.00000000E+00  9.28766475E-04  1.53716510E-04  0.00000000E+00  1.17504554E-03  1.80805603E-04  0.00000000E+00  5.32316404E-03  4.52777532E-04  0.00000000E+00  2.59149772E-02  1.06996127E-03  0.00000000E+00  3.78308652E-02  5.56059646E-04  0.00000000E+00  6.40517949E-03  1.37369509E-04  0.00000000E+00  3.53323973E-07  4.29962824E-08  0.00000000E+00  2.86478897E-08  1.02702562E-08
  4.00000000E-02  2.18901059E-04  4.53254953E-05  4.00000000E-02  1.73870355E-04  4.68995142E-05  4.00000000E-02  9.29261788E-04  1.37621504E-04  4.00000000E-02  1.19488129E-03  1.60076142E-04  4.00000000E-02  5.59324244E-03  4.99474931E-04  4.00000000E-02  2.66854756E-02  1.03062169E-03  4.00000000E-02  3.78628877E-02  4.72341928E-04  4.00000000E-02  6.31106424E-03  1.29830384E-04  4.00000000E-02  3.88338061E-07  3.37240240E-08  4.00000000E-02  2.65258238E-08  8.01022399E-09
  8.00000000E-02  2.27002980E-04  4.35423177E-05  8.00000000E-02  2.26408379E-04  4.79536672E-05  8.00000000E-02  9.50896389E-04  1.16831583E-04  8.00000000E-02  1.22733127E-03  1.25141266E-04  8.00000000E-02  5.57125890E-03  4.47202994E-04  8.00000000E-02  2.63822893E-02  9.78542916E-04  8.00000000E-02  3.77896564E-02  4.38902333E-04  8.00000000E-02  6.29658460E-03  1.23478497E-04  8.00000000E-02  3.59690171E-07  2.91617304E-08  8.00000000E-02  3.37408479E-08  7.41817335E-09
  1.20000000E-01  2.87044067E-04  4.80423661E-05  1.20000000E-01  2.58081180E-04  5.09898615E-05  1.20000000E-01  1.02043997E-03  1.37933594E-04  1.20000000E-01  1.42491170E-03  1.51866971E-04  1.20000000E-01  5.82193488E-03  4.91531498E-04  1.20000000E-01  2.65000723E-02  9.96868813E-04  1.20000000E-01  3.77753222E-02  4.58308927E-04  1.20000000E-01  6.28097634E-03  1.19850426E-04  1.20000000E-01  3.95158988E-07  2.44637019E-08  1.20000000E-01  2.54647909E-08  5.02201898E-09
  1.60000000E-01  3.16831188E-04  4.82242770E-05  1.60000000E-01  3.20275847E-04  5.75661166E-05  1.60000000E-01  1.16682373E-03  1.25598400E-04  1.60000000E-01  1.55075771E-03  1.51355036E-04  1.60000000E-01  5.95338672E-03  4.57776654E-04  1.60000000E-01  2.67029236E-02  9.69214248E-04  1.60000000E-01  3.76384165E-02  4.14006812E-04  1.60000000E-01  6.26272179E-03  1.20451267E-04  1.60000000E-01  4.12388141E-07  2.22239169E-08  1.60000000E-01  2.72331791E-08  4.65112924E-09
  2.00000000E-01  3.87133497E-04  4.85348383E-05  2.00000000E-01  4.34793952E-04  7.85299083E-05  2.00000000E-01  1.23846948E-03  1.22527464E-04  2.00000000E-01  1.70339783E-03  1.64897690E-04  2.00000000E-01  6.46039723E-03  4.58196660E-04  2.00000000E-01  2.66098410E-02  9.57863993E-04  2.00000000E-01  3.73063682E-02  4.12115370E-04  2.00000000E-01  6.23953846E-03  1.17316555E-04  2.00000000E-01  3.97887358E-07  2.18600661E-08  2.00000000E-01  2.54647909E-08  4.23495797E-09
  2.40000000E-01  4.86808546E-04  5.72350261E-05  2.40000000E-01  5.21863445E-04  7.89731306E-05  2.40000000E-01  1.46631396E-03  1.35238377E-04  2.40000000E-01  1.86149457E-03  1.66529762E-04  2.40000000E-01  6.72214515E-03  4.77108656E-04  2.40000000E-01  2.69479488E-02  9.58861770E-04  2.40000000E-01  3.71484053E-02  3.94770661E-04  2.40000000E-01  6.24020906E-03  1.19266413E-04  2.40000000E-01  4.22862441E-07  2.13199135E-08  2.40000000E-01  2.86478898E-08  4.58515104E-09
  2.80000000E-01  5.48910135E-04  5.28788115E-05  2.80000000E-01  6.50052102E-04  9.26647688E-05  2.80000000E-01  1.61953466E-03  1.36710244E-04  2.80000000E-01  2.19166454E-03  1.79176486E-04  2.80000000E-01  7.07632245E-03  4.55989832E-04  2.80000000E-01  2.71025753E-02  8.99559688E-04  2.80000000E-01  3.69107789E-02  3.64863287E-04  2.80000000E-01  6.20729425E-03  1.16785181E-04  2.80000000E-01  4.39055436E-07  1.98026714E-08  2.80000000E-01  3.26798150E-08  5.02639126E-09
  3.20000000E-01  7.36634707E-04  5.70126444E-05  3.20000000E-01  8.16913007E-04  1.06300596E-04  3.20000000E-01  1.91545657E-03  1.47003656E-04  3.20000000E-01  2.48167292E-03  2.02027766E-04  3.20000000E-01  7.67626495E-03  4.60174862E-04  3.20000000E-01  2.73494465E-02  8.84921873E-04  3.20000000E-01  3.67981859E-02  3.89906517E-04  3.20000000E-01  6.15182128E-03  1.14162876E-04  3.20000000E-01  4.49753145E-07  1.82407814E-08  3.20000000E-01  3.25799531E-08  4.44336779E-09
  3.60000000E-01  8.84561326E-04  6.12849091E-05  3.60000000E-01  9.91516470E-04  1.12163364E-04  3.60000000E-01  2.20731295E-03  1.57715711E-04  3.60000000E-01  2.92222553E-03  2.11579091E-04  3.60000000E-01  8.30026336E-03  4.47047230E-04  3.60000000E-01  2.76007274E-02  8.61272084E-04  3.60000000E-01  3.64690376E-02  3.47125216E-04  3.60000000E-01  6.09168244E-03  1.11873563E-04  3.60000000E-01  4.77297297E-07  1.82809482E-08  3.60000000E-01  3.45114929E-08  4.77132377E-09
