#                   N = 2.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.78930203E-02  1.19258466E-03
  3.00000000E-02  1.80823182E-02  7.30676678E-04
  6.00000000E-02  1.80537779E-02  5.57951366E-04
  9.00000000E-02  1.73463446E-02  5.03615016E-04
  1.20000000E-01  1.74969509E-02  4.20658019E-04
  1.50000000E-01  1.81495653E-02  4.05056767E-04
  1.80000000E-01  1.76154581E-02  3.67210981E-04
  2.10000000E-01  1.74864667E-02  3.13067865E-04
  2.40000000E-01  1.77013241E-02  2.94507570E-04
  2.70000000E-01  1.74879075E-02  2.77575414E-04
  3.00000000E-01  1.74590913E-02  2.66695979E-04
  3.30000000E-01  1.66527709E-02  2.43034426E-04
  3.60000000E-01  1.67816960E-02  2.67133201E-04
  3.90000000E-01  1.64689177E-02  2.42797778E-04
  4.20000000E-01  1.62827329E-02  2.27388460E-04
  4.50000000E-01  1.64816001E-02  2.30860563E-04
  4.80000000E-01  1.62271988E-02  1.93831096E-04
  5.10000000E-01  1.59324765E-02  1.89402003E-04
  5.40000000E-01  1.57121196E-02  1.78652545E-04
  5.70000000E-01  1.51729551E-02  1.96749907E-04
  6.00000000E-01  1.48609154E-02  1.70834330E-04
  6.30000000E-01  1.44718417E-02  1.70397203E-04
  6.60000000E-01  1.44980838E-02  1.70635505E-04
  6.90000000E-01  1.43856493E-02  1.54258278E-04
  7.20000000E-01  1.38687311E-02  1.76013047E-04
  7.50000000E-01  1.34934287E-02  1.44348677E-04
  7.80000000E-01  1.34393819E-02  1.37553271E-04
  8.10000000E-01  1.29082638E-02  1.48016036E-04
  8.40000000E-01  1.26126051E-02  1.28051577E-04
  8.70000000E-01  1.20928042E-02  1.26685780E-04
  9.00000000E-01  1.17707967E-02  1.21114576E-04
  9.30000000E-01  1.15503618E-02  1.20780151E-04
  9.60000000E-01  1.12778987E-02  1.12883363E-04
  9.90000000E-01  1.09433314E-02  1.12989388E-04
  1.02000000E+00  1.05015386E-02  1.06897881E-04
  1.05000000E+00  1.01087542E-02  1.15062797E-04
  1.08000000E+00  1.00546509E-02  1.05494971E-04
  1.11000000E+00  9.60911108E-03  1.10291460E-04
  1.14000000E+00  9.06440059E-03  9.40615129E-05
  1.17000000E+00  8.70221081E-03  1.05653871E-04
  1.20000000E+00  8.30516240E-03  9.65704062E-05
  1.23000000E+00  8.02619604E-03  8.96015804E-05
  1.26000000E+00  7.65726296E-03  8.57236535E-05
  1.29000000E+00  7.25698872E-03  8.23127757E-05
  1.32000000E+00  6.90503781E-03  8.51150342E-05
  1.35000000E+00  6.45526655E-03  8.83006354E-05
  1.38000000E+00  6.34631792E-03  7.60190365E-05
  1.41000000E+00  5.95446903E-03  7.25721518E-05
  1.44000000E+00  5.68353071E-03  6.91820733E-05
  1.47000000E+00  5.30969589E-03  6.52485593E-05
  1.50000000E+00  5.04210033E-03  6.69972198E-05
  1.53000000E+00  4.70847081E-03  6.68286180E-05
  1.56000000E+00  4.36733147E-03  6.11381938E-05
  1.59000000E+00  4.18812427E-03  5.78149037E-05
  1.62000000E+00  3.83931417E-03  6.49390660E-05
  1.65000000E+00  3.70622470E-03  5.50859755E-05
  1.68000000E+00  3.38671862E-03  5.31141462E-05
  1.71000000E+00  3.08592304E-03  5.01957707E-05
  1.74000000E+00  2.87225033E-03  4.63590471E-05
  1.77000000E+00  2.67846133E-03  4.52796735E-05
  1.80000000E+00  2.45815302E-03  5.22665813E-05
  1.83000000E+00  2.26262493E-03  3.81766996E-05
  1.86000000E+00  2.09033812E-03  3.67842692E-05
  1.89000000E+00  1.87772972E-03  3.74042059E-05
  1.92000000E+00  1.68769749E-03  3.59168714E-05
  1.95000000E+00  1.52981162E-03  3.18005381E-05
  1.98000000E+00  1.39119179E-03  3.14725609E-05
  2.01000000E+00  1.27719458E-03  2.77226035E-05
  2.04000000E+00  1.14650120E-03  2.90180211E-05
  2.07000000E+00  1.01674031E-03  2.40408922E-05
  2.10000000E+00  9.08815830E-04  2.20303014E-05
  2.13000000E+00  8.17595875E-04  2.10213963E-05
  2.16000000E+00  6.88582424E-04  1.97475231E-05
  2.19000000E+00  6.71784681E-04  1.89280303E-05
  2.22000000E+00  5.46901875E-04  1.68017013E-05
  2.25000000E+00  4.86079987E-04  1.58095952E-05
  2.28000000E+00  3.99781185E-04  1.52132089E-05
  2.31000000E+00  3.41750826E-04  1.34355017E-05
  2.34000000E+00  3.00112767E-04  1.26318571E-05
  2.37000000E+00  2.74303378E-04  1.24706473E-05
  2.40000000E+00  2.15870156E-04  1.16151326E-05
  2.43000000E+00  1.97302195E-04  9.38803963E-06
  2.46000000E+00  1.50591116E-04  8.60767272E-06
  2.49000000E+00  1.28436579E-04  7.82290994E-06
  2.52000000E+00  1.20764653E-04  8.18380149E-06
  2.55000000E+00  9.03316314E-05  6.33888567E-06
  2.58000000E+00  8.18635578E-05  5.78619360E-06
  2.61000000E+00  5.26705817E-05  4.40594341E-06
  2.64000000E+00  4.99035674E-05  4.55377983E-06
  2.67000000E+00  4.23662864E-05  4.32233615E-06
  2.70000000E+00  3.39336404E-05  4.00983041E-06
  2.73000000E+00  2.88363011E-05  3.66884462E-06
  2.76000000E+00  1.99766354E-05  3.38453489E-06
  2.79000000E+00  1.85482356E-05  3.49842866E-06
  2.82000000E+00  1.27123135E-05  2.19456116E-06
  2.85000000E+00  8.73682634E-06  1.54894623E-06
  2.88000000E+00  4.93426980E-06  1.07242075E-06
  2.91000000E+00  5.42131276E-06  1.58085437E-06
  2.94000000E+00  3.06010669E-06  9.17285916E-07
  2.97000000E+00  1.93176060E-06  6.44554616E-07
  3.00000000E+00  7.82402359E-07  3.30916032E-07
  3.03000000E+00  1.37723371E-06  8.20216408E-07
  3.06000000E+00  1.78998393E-06  7.71595905E-07
  3.09000000E+00  4.64275796E-07  3.52075771E-07
  3.12000000E+00  5.01635963E-07  4.66423738E-07
  3.15000000E+00  0.00000000E+00  0.00000000E+00
  3.18000000E+00  0.00000000E+00  0.00000000E+00
  3.21000000E+00  0.00000000E+00  0.00000000E+00
  3.24000000E+00  0.00000000E+00  0.00000000E+00
  3.27000000E+00  0.00000000E+00  0.00000000E+00
  3.30000000E+00  0.00000000E+00  0.00000000E+00
  3.33000000E+00  0.00000000E+00  0.00000000E+00
  3.36000000E+00  0.00000000E+00  0.00000000E+00
  3.39000000E+00  0.00000000E+00  0.00000000E+00
  3.42000000E+00  0.00000000E+00  0.00000000E+00
  3.45000000E+00  0.00000000E+00  0.00000000E+00
  3.48000000E+00  0.00000000E+00  0.00000000E+00
  3.51000000E+00  0.00000000E+00  0.00000000E+00
  3.54000000E+00  0.00000000E+00  0.00000000E+00
