#                   N = 2.00                    
#          r [Å]            ρ(r)           Δρ(r)
  0.00000000E+00  1.72464540E-02  5.64121752E-04
  3.00000000E-02  1.76563429E-02  3.69521442E-04
  6.00000000E-02  1.78260327E-02  2.69383570E-04
  9.00000000E-02  1.77335187E-02  2.26803105E-04
  1.20000000E-01  1.77610315E-02  2.18130029E-04
  1.50000000E-01  1.75602111E-02  1.83987909E-04
  1.80000000E-01  1.77305463E-02  1.92326198E-04
  2.10000000E-01  1.74757881E-02  1.51594995E-04
  2.40000000E-01  1.78285159E-02  1.48622805E-04
  2.70000000E-01  1.72439225E-02  1.46439377E-04
  3.00000000E-01  1.71866051E-02  1.31613674E-04
  3.30000000E-01  1.70212567E-02  1.30272657E-04
  3.60000000E-01  1.68615849E-02  1.24579856E-04
  3.90000000E-01  1.64031398E-02  1.10415723E-04
  4.20000000E-01  1.64055696E-02  1.09977695E-04
  4.50000000E-01  1.62071072E-02  1.19282360E-04
  4.80000000E-01  1.59764555E-02  1.08919454E-04
  5.10000000E-01  1.56812021E-02  1.06681951E-04
  5.40000000E-01  1.54367868E-02  9.39664317E-05
  5.70000000E-01  1.54438806E-02  9.22531359E-05
  6.00000000E-01  1.50040204E-02  1.00895001E-04
  6.30000000E-01  1.47453905E-02  9.23140894E-05
  6.60000000E-01  1.44424222E-02  8.69702112E-05
  6.90000000E-01  1.40728669E-02  8.63862906E-05
  7.20000000E-01  1.38873074E-02  7.35060092E-05
  7.50000000E-01  1.35108968E-02  7.53229430E-05
  7.80000000E-01  1.32051544E-02  7.44420157E-05
  8.10000000E-01  1.27365624E-02  8.14755683E-05
  8.40000000E-01  1.24953992E-02  6.75027725E-05
  8.70000000E-01  1.22205100E-02  6.34528141E-05
  9.00000000E-01  1.18354504E-02  6.39004740E-05
  9.30000000E-01  1.15259841E-02  6.18408451E-05
  9.60000000E-01  1.11533608E-02  5.64155498E-05
  9.90000000E-01  1.08463455E-02  5.85645582E-05
  1.02000000E+00  1.04261465E-02  5.24594405E-05
  1.05000000E+00  1.01974333E-02  5.78364472E-05
  1.08000000E+00  9.72193779E-03  5.06767459E-05
  1.11000000E+00  9.44435147E-03  4.88840755E-05
  1.14000000E+00  9.07642313E-03  5.05288021E-05
  1.17000000E+00  8.67553550E-03  4.78238817E-05
  1.20000000E+00  8.31641646E-03  4.55080889E-05
  1.23000000E+00  7.94270350E-03  4.51832885E-05
  1.26000000E+00  7.63941729E-03  4.11420160E-05
  1.29000000E+00  7.27579485E-03  4.28934570E-05
  1.32000000E+00  7.00249958E-03  4.11743008E-05
  1.35000000E+00  6.66901420E-03  4.47073018E-05
  1.38000000E+00  6.30748571E-03  3.63133405E-05
  1.41000000E+00  5.90182716E-03  3.84539837E-05
  1.44000000E+00  5.60059135E-03  3.51725226E-05
  1.47000000E+00  5.34006668E-03  3.19424024E-05
  1.50000000E+00  4.96818351E-03  3.14119861E-05
  1.53000000E+00  4.75390012E-03  3.30660993E-05
  1.56000000E+00  4.37429597E-03  2.86982020E-05
  1.59000000E+00  4.19569318E-03  2.75792518E-05
  1.62000000E+00  3.88241757E-03  2.56035242E-05
  1.65000000E+00  3.63409331E-03  2.48710697E-05
